,response,coverage,education,policy_type,policy,vehicle_size,year,month,day,unnamed:_0,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
39,0,0,0,0,2,1,2011,2,7,39,2521.633095,53243,66,4,15,2,1,157.397849
40,0,0,0,1,5,1,2011,1,18,40,2652.061785,0,70,7,1,1,1,484.318536
41,1,0,2,1,5,1,2011,1,11,41,2771.045031,50071,71,3,32,0,1,18.918935
42,1,1,1,0,1,0,2011,1,28,42,3939.00637,60021,99,12,28,0,1,882.871945
43,0,0,0,0,1,1,2011,2,8,43,12231.87968,43244,103,15,16,0,2,494.4
44,0,0,2,2,7,2,2011,2,23,44,2443.665166,92834,61,15,56,0,1,292.8
45,0,2,4,0,1,1,2011,1,25,45,12819.10289,10105,172,5,4,3,3,0.517753
46,0,0,1,0,2,1,2011,1,31,46,4468.510542,0,73,7,57,3,5,579.165954
47,0,0,0,0,1,1,2011,1,2,47,5514.344018,23218,71,7,10,0,4,447.79344
48,0,1,1,1,4,1,2011,2,7,48,3343.875326,0,92,11,77,0,1,529.624084
49,0,0,0,0,1,1,2011,1,18,49,2294.478927,0,62,11,56,0,1,313.023175
50,0,0,2,0,1,0,2011,1,17,50,36707.42639,24804,104,1,28,0,2,593.830288
51,1,0,1,1,3,1,2011,1,11,51,33473.34946,33190,106,18,95,0,2,508.8
52,0,0,0,2,6,1,2011,2,21,52,7983.431709,36014,69,4,40,3,2,173.956072
53,0,0,1,0,2,1,2011,2,16,53,4854.745666,29834,64,19,44,0,3,307.2
54,0,2,1,0,1,0,2011,1,17,54,4293.997319,16701,113,20,26,0,1,831.625979
55,0,1,2,1,5,0,2011,2,5,55,7164.395543,46623,91,1,53,0,3,436.8
56,0,0,2,2,7,1,2011,2,13,56,7619.5158,64749,64,24,59,0,2,302.56519
57,0,0,0,0,1,0,2011,2,23,57,3958.002823,0,101,29,12,0,1,484.8
58,0,1,0,0,2,1,2011,1,28,58,4499.493252,16969,124,34,47,2,1,704.768111
59,0,2,3,0,0,1,2011,2,28,59,4059.567414,11621,108,4,98,0,1,518.4
60,1,0,1,0,0,1,2011,1,2,60,4458.113369,17622,65,1,36,1,3,312.0
61,0,2,1,0,2,0,2011,1,22,61,8110.333139,11489,105,4,50,0,6,504.0
62,0,1,1,0,2,0,2011,1,15,62,3339.764873,0,94,20,53,0,1,863.327324
63,0,0,0,0,2,1,2011,1,27,63,24261.01777,66525,100,0,86,0,2,104.331355
64,0,0,1,0,2,2,2011,1,23,64,6613.973653,0,63,21,28,0,2,676.391482
65,0,0,2,0,2,1,2011,1,31,65,2930.693543,33663,73,29,71,0,1,350.4
66,0,0,2,1,5,1,2011,1,26,66,8672.194272,22547,112,7,60,0,3,537.6
67,0,1,0,0,2,0,2011,1,10,67,11638.66926,61486,97,5,65,0,2,465.258644
68,1,1,1,0,2,2,2011,1,27,68,6846.150323,0,95,13,20,0,5,456.0
69,0,2,2,0,2,1,2011,1,9,69,11727.77648,29879,102,17,0,0,2,500.254235
70,0,0,0,0,2,1,2011,2,24,70,22643.83478,93011,113,17,12,0,2,281.451042
71,0,0,3,0,1,2,2011,2,11,71,2614.474305,65186,65,29,27,0,1,5.434505
72,0,0,3,0,0,1,2011,2,12,72,2451.752695,26840,64,1,47,2,1,307.2
73,0,0,1,0,2,1,2011,2,4,73,6781.270203,0,104,30,3,1,5,982.399613
74,1,0,1,0,2,1,2011,1,18,74,4974.801539,75644,65,5,68,3,9,467.803638
75,0,0,1,0,2,0,2011,2,11,75,8591.604933,38984,73,27,38,0,2,350.4
76,0,0,0,0,0,1,2011,2,1,76,5592.161392,71811,71,17,48,0,6,29.03416
77,0,0,2,0,0,1,2011,2,15,77,8009.472833,20961,67,20,33,0,2,321.6
78,0,1,2,0,2,1,2011,2,6,78,11318.08982,38923,99,6,83,2,2,115.728852
79,0,0,1,0,2,0,2011,2,27,79,58166.55351,61321,186,0,30,1,2,427.63121
80,0,1,2,0,2,2,2011,1,26,80,8025.229358,0,77,20,26,0,2,25.807685
81,1,0,0,0,2,1,2011,2,26,81,5780.182197,51066,74,23,0,0,8,787.993313
82,0,0,4,0,0,1,2011,1,27,82,4118.539113,34378,102,12,54,0,1,489.6
83,0,0,3,0,2,2,2011,1,16,83,2523.07015,43072,63,35,15,0,1,302.4
84,0,1,2,0,2,0,2011,1,27,84,6554.216396,25222,90,28,69,0,3,475.623251
85,0,0,0,0,1,1,2011,2,28,85,7703.397294,36765,66,15,32,1,2,320.849072
86,1,1,2,0,0,1,2011,1,25,86,5926.729379,23091,96,28,90,5,5,460.8
87,0,0,1,1,4,1,2011,1,1,87,2683.470677,48269,69,3,79,3,1,282.151207
88,0,0,1,0,1,1,2011,2,1,88,2695.182419,32720,67,13,12,0,1,321.6
89,1,1,2,0,2,1,2011,2,19,89,6047.02516,20396,76,15,60,1,4,364.8
90,0,2,2,0,2,0,2011,1,27,90,13171.01282,21513,119,21,81,1,2,679.827592
91,1,1,1,1,5,1,2011,2,27,91,10656.88195,72540,88,7,3,0,2,631.743039
92,0,0,1,1,5,1,2011,1,17,92,2527.653796,80744,63,24,84,0,1,11.879037
93,0,0,1,1,3,0,2011,2,10,93,2672.095756,52822,67,23,88,0,1,350.529033
94,0,1,0,0,1,1,2011,1,24,94,5313.294035,0,77,8,10,1,9,863.3947
95,0,0,1,0,2,2,2011,2,24,95,20946.19251,69738,74,2,26,1,2,492.127532
96,0,0,3,0,2,1,2011,2,15,96,8375.353929,17780,109,12,18,0,9,132.588288
97,0,0,1,0,1,1,2011,2,16,97,4801.661503,18107,62,29,11,0,8,297.6
98,0,0,1,0,0,1,2011,1,22,98,5745.94334,57740,74,30,87,3,9,269.905129
99,0,1,2,0,1,0,2011,2,25,99,6066.115969,32627,76,11,60,0,7,380.036697
100,1,0,2,0,2,1,2011,1,11,100,8002.308333,0,107,3,65,0,3,513.6
101,1,0,2,0,0,1,2011,1,31,101,2393.915369,0,70,24,10,0,1,425.266308
102,0,0,1,1,5,1,2011,1,12,102,4762.8179,65795,62,2,85,1,3,49.011099
103,1,2,2,0,2,1,2011,2,16,103,4330.38602,60475,107,9,18,0,1,513.6
104,0,1,0,0,2,1,2011,2,9,104,9402.729769,0,130,28,88,0,4,936.0
105,0,1,1,0,2,0,2011,1,19,105,6966.694527,41837,88,29,93,0,9,142.062768
106,0,0,1,0,0,1,2011,1,4,106,7694.064293,32303,65,13,34,0,2,45.152521
107,0,0,0,0,0,1,2011,1,9,107,8717.561149,0,117,5,89,1,3,561.6
108,0,0,1,0,2,1,2011,1,27,108,5928.748528,40531,74,17,32,0,9,30.567357
109,0,0,2,1,3,1,2011,2,14,109,2452.977288,79898,62,5,86,1,1,271.606799
110,0,1,2,0,2,0,2011,2,27,110,6701.571657,56398,85,4,18,0,7,408.0
111,0,1,0,1,4,0,2011,2,12,111,7556.24034,35257,98,16,2,1,8,470.4
112,0,0,2,0,2,1,2011,2,26,112,8492.6988,27804,109,19,54,0,7,784.8
113,0,0,1,0,2,1,2011,2,20,113,7713.494046,45506,66,16,32,2,2,316.8
114,0,0,0,0,1,1,2011,2,2,114,24084.5352,65196,67,0,54,0,2,396.082036
115,0,0,0,1,4,1,2011,2,15,115,7290.069769,0,102,11,70,1,3,489.6
116,1,1,0,0,2,1,2011,2,18,116,4772.943848,20993,133,35,90,0,1,638.4
117,0,1,0,0,2,1,2011,1,21,117,6806.491395,37839,86,35,77,0,9,465.633954
118,0,0,1,0,1,1,2011,1,15,118,2469.781334,92711,62,24,10,0,1,368.400146
119,0,1,2,1,4,1,2011,2,5,119,3103.923041,74665,78,10,90,2,1,236.902001
120,0,1,2,0,1,1,2011,2,24,120,2981.875575,0,83,26,89,0,1,582.679087
121,0,0,1,0,2,1,2011,1,5,121,8902.737595,46833,112,6,3,0,9,64.109663
122,0,0,0,0,2,0,2011,1,28,122,5499.447223,88768,68,17,77,0,7,326.4
123,0,0,0,0,2,1,2011,1,12,123,15023.59858,28262,192,9,77,0,3,921.6
124,0,0,1,0,2,1,2011,2,16,124,2509.107875,33555,63,17,11,0,1,101.89645
125,0,2,2,0,1,1,2011,1,3,125,31221.7481,42780,113,10,27,1,2,542.4
126,0,1,3,0,2,1,2011,2,7,126,3133.503432,58850,78,20,26,0,1,143.747794
127,0,1,2,2,7,1,2011,1,13,127,3837.451863,21880,97,29,37,0,1,424.077159
128,1,0,2,0,1,1,2011,1,3,128,11790.49617,25251,66,13,43,0,2,316.8
129,0,0,3,0,0,1,2011,2,17,129,7838.068321,0,69,9,12,0,2,2.704934
130,0,0,0,0,2,1,2011,1,21,130,4305.808345,24188,109,14,82,0,1,523.2
131,0,0,1,2,7,1,2011,1,26,131,5973.976904,41611,74,14,8,0,8,113.801497
132,0,0,1,0,2,1,2011,1,31,132,5670.442396,28406,72,16,35,1,4,192.87572
133,0,2,2,0,2,0,2011,1,2,133,4731.749346,69833,118,32,99,0,1,828.662719
134,0,0,0,1,4,0,2011,2,7,134,8026.379641,0,74,15,91,0,2,532.8
135,0,0,0,0,2,1,2011,1,26,135,4022.963529,0,117,6,1,0,1,975.107098
136,0,0,0,2,7,1,2011,1,11,136,9618.310865,80536,119,5,83,0,3,53.798708
137,0,0,2,0,1,0,2011,1,15,137,2274.775451,0,63,2,5,0,1,606.642452
138,0,1,2,0,2,1,2011,2,8,138,9552.926922,97732,79,0,70,0,2,289.9122
139,0,1,1,2,8,0,2011,1,11,139,10388.55323,61222,89,20,55,0,2,392.604371
140,0,0,2,0,0,2,2011,1,9,140,2470.121222,0,74,7,20,0,1,721.242206
141,0,2,3,0,1,1,2011,2,4,141,5619.068508,50335,140,9,54,0,1,456.52385
142,0,1,0,0,1,1,2011,1,21,142,9047.119209,0,127,30,11,0,6,1087.995426
143,0,2,0,1,5,1,2011,2,16,143,6692.143668,63221,168,28,49,0,1,806.4
144,1,1,0,0,0,2,2011,2,24,144,3731.504584,0,96,31,34,0,1,460.8
145,0,1,1,1,4,1,2011,1,18,145,3660.770258,64495,92,34,30,0,1,251.992083
146,0,0,2,1,5,1,2011,1,30,146,7928.829252,0,72,7,75,0,2,345.6
147,0,0,1,1,4,1,2011,1,9,147,5011.751577,28859,67,24,51,3,4,321.6
148,0,1,0,0,2,1,2011,2,1,148,7988.258292,77330,99,0,21,0,3,99.257608
149,1,2,2,1,4,2,2011,2,28,149,3885.456401,0,105,3,92,0,1,504.0
150,0,0,1,0,1,0,2011,1,31,150,2659.337982,24495,70,29,65,0,1,336.0
151,1,0,0,0,2,1,2011,2,17,151,8564.768226,95697,107,29,29,0,9,178.006524
152,0,1,0,0,2,1,2011,2,12,152,4885.162511,26372,126,11,7,0,1,604.8
153,0,1,1,0,0,1,2011,2,24,153,9753.307106,17514,127,2,5,0,3,8.312729
154,0,0,1,0,2,1,2011,2,1,154,2946.153697,89270,74,17,90,0,1,316.599228
155,0,0,0,0,1,0,2011,2,6,155,2581.110945,29757,65,13,55,0,1,312.0
156,0,1,2,0,1,1,2011,1,23,156,3517.385764,51814,92,28,89,0,1,56.300724
157,0,1,1,0,1,0,2011,1,21,157,9743.350113,24028,82,14,27,0,2,393.6
158,1,0,2,0,2,1,2011,1,20,158,3873.647046,28142,105,18,50,0,1,701.708239
159,0,0,1,0,1,2,2011,1,6,159,7649.28199,52705,64,14,8,1,2,128.705563
160,0,0,0,1,5,1,2011,2,22,160,2287.59692,0,63,1,5,0,1,679.368378
161,0,0,2,0,0,1,2011,2,27,161,4475.424592,84903,111,7,63,0,1,497.126827
162,1,0,2,0,2,1,2011,2,21,162,8714.922135,0,118,14,64,0,4,566.4
163,1,0,1,0,0,1,2011,1,29,163,2248.449633,24910,63,7,63,1,1,347.857619
164,0,1,1,0,2,1,2011,2,22,164,7416.197322,0,77,15,12,2,2,554.4
165,0,0,3,0,2,0,2011,2,21,165,7771.158973,21876,68,12,28,0,2,465.41477
166,0,0,1,0,2,0,2011,1,10,166,6968.3419,0,69,33,61,1,2,496.8
167,1,0,0,0,0,0,2011,1,18,167,4250.282624,0,61,17,1,1,7,292.8
168,0,1,0,0,1,1,2011,1,16,168,19776.56654,70699,82,1,57,0,2,256.813837
169,0,0,0,0,1,1,2011,1,6,169,21343.46599,0,74,11,85,1,2,355.2
170,0,0,2,0,0,1,2011,1,27,170,2413.139714,27501,63,20,0,0,1,542.319401
171,0,2,4,0,2,1,2011,1,15,171,15363.84716,15897,101,30,99,0,2,303.148399
172,0,0,2,0,2,1,2011,1,9,172,8456.961887,25141,73,12,4,1,2,25.438063
173,0,0,2,0,1,0,2011,1,28,173,2189.642522,0,61,5,46,3,1,292.8
174,1,0,0,0,1,1,2011,2,26,174,5780.182197,51066,74,23,0,0,8,787.993313
175,0,0,1,0,1,1,2011,1,4,175,4639.981638,28358,117,24,37,0,1,84.024413
176,0,0,2,0,1,1,2011,2,1,176,4465.335703,61846,112,1,48,0,1,215.8182
177,0,0,1,0,2,1,2011,1,27,177,5968.118877,90972,74,3,47,0,8,232.926145
178,0,0,2,0,2,1,2011,2,14,178,5097.763337,0,74,3,95,0,7,532.8
179,0,0,1,0,1,0,2011,1,23,179,4076.634665,29549,104,17,51,0,1,710.433775
180,0,2,1,0,1,1,2011,2,18,180,12252.60179,0,115,12,17,1,2,552.0
181,0,1,1,0,2,1,2011,1,24,181,16936.27147,39411,217,4,29,2,4,1122.658899
182,0,0,0,0,1,2,2011,2,18,182,4892.435461,21709,62,28,17,0,3,408.374746
183,0,1,1,0,1,0,2011,1,19,183,9942.304791,67890,85,23,57,0,2,408.0
184,0,0,1,0,2,1,2011,1,4,184,3735.838129,0,110,3,16,0,1,792.0
185,0,0,0,0,2,0,2011,2,7,185,13117.52215,84311,111,11,98,4,2,532.8
186,0,0,2,1,5,1,2011,1,30,186,4574.524094,99316,114,26,53,0,1,754.358929
187,1,1,1,0,0,1,2011,2,17,187,5470.060561,54507,138,20,11,0,1,702.990032
188,0,1,1,0,0,1,2011,1,13,188,2978.84601,64586,76,3,17,0,1,206.837111
189,0,1,2,0,2,1,2011,2,8,189,6410.967544,61709,82,5,41,2,7,275.395894
190,0,0,3,2,7,1,2011,1,29,190,4479.023088,94656,111,12,79,1,1,459.738128
191,0,0,0,2,8,0,2011,2,5,191,2383.731879,0,69,5,40,0,1,496.8
192,0,0,1,0,2,1,2011,1,20,192,2764.493659,61085,70,27,34,1,1,336.0
193,0,0,1,0,1,0,2011,1,27,193,7920.105377,89284,67,7,31,3,2,321.6
194,0,0,0,0,1,0,2011,1,9,194,6889.097981,0,63,6,12,0,2,302.4
195,0,1,1,0,2,0,2011,1,11,195,3274.194616,31686,81,11,33,0,1,430.994107
196,0,2,0,1,5,1,2011,2,17,196,9951.707743,56855,255,12,1,0,1,1836.0
197,0,0,1,2,8,1,2011,2,16,197,2521.555686,53703,67,3,45,2,1,67.632476
198,0,1,0,0,0,1,2011,2,10,198,23706.11337,0,96,12,35,1,2,844.481918
199,1,1,2,0,0,1,2011,2,19,199,6047.02516,20396,76,15,60,1,4,364.8
200,0,2,3,0,0,1,2011,1,21,200,11140.30248,27679,150,30,28,0,3,722.486994
201,1,1,1,0,2,1,2011,2,27,201,4334.064096,23904,123,1,67,3,1,590.4
202,0,0,0,1,3,1,2011,2,4,202,2799.74791,65351,69,4,54,0,1,481.027516
203,0,0,2,0,1,1,2011,1,18,203,7923.136624,0,113,20,1,0,7,1124.427734
204,0,0,0,0,1,1,2011,2,3,204,3688.110888,0,63,0,54,3,7,669.682001
205,0,0,2,0,1,1,2011,1,2,205,12067.45599,0,116,14,35,0,2,1284.093173
206,0,0,2,0,0,1,2011,1,9,206,2924.976721,64459,72,16,64,0,1,240.259479
207,0,2,2,1,4,0,2011,1,19,207,15014.0927,32961,190,13,53,0,3,912.0
208,0,0,0,1,5,1,2011,1,11,208,9277.233839,71416,116,10,0,0,3,556.8
209,0,1,1,0,2,1,2011,1,31,209,6274.123875,68964,78,15,6,0,3,115.086827
210,0,1,0,0,2,0,2011,1,11,210,3886.647414,78108,98,12,34,0,1,470.4
211,1,0,2,2,8,1,2011,2,11,211,4386.277558,10621,67,28,22,0,5,321.6
212,0,1,2,1,5,0,2011,1,22,212,11365.26766,84910,95,4,69,0,2,383.167471
213,0,0,0,2,8,1,2011,2,24,213,5610.96434,77493,70,2,35,0,3,307.963291
214,0,0,2,0,0,0,2011,2,28,214,2912.892035,81097,74,7,67,0,1,355.2
215,0,1,2,1,3,2,2011,1,25,215,6915.729915,96610,85,6,23,0,3,520.364752
216,0,2,2,1,5,0,2011,2,26,216,6262.663307,30110,159,20,71,0,1,466.436375
217,1,1,0,2,8,0,2011,2,19,217,6503.397049,22081,84,1,9,0,6,451.670309
218,1,0,0,0,2,1,2011,1,2,218,8007.399376,0,112,12,93,0,3,537.6
219,0,0,2,0,0,1,2011,1,2,219,2929.916512,98473,72,19,69,0,1,345.6
220,0,0,1,0,1,1,2011,1,26,220,5969.55297,97431,74,1,72,0,3,355.2
221,0,0,1,0,1,1,2011,2,2,221,5473.15987,93870,69,1,96,0,8,331.2
222,0,0,0,0,0,0,2011,2,27,222,5645.396665,50366,72,9,5,0,9,428.734656
223,1,1,0,0,2,0,2011,1,20,223,6369.262355,34498,83,30,72,0,7,398.4
224,0,0,2,0,2,0,2011,1,17,224,11833.76732,16552,103,23,53,0,2,494.4
225,0,1,2,0,2,1,2011,1,17,225,6121.107929,26787,77,7,50,0,5,369.6
226,0,0,2,0,0,1,2011,2,24,226,5159.369746,0,74,2,42,0,9,831.752839
227,1,0,0,1,5,1,2011,2,14,227,2514.59196,43860,65,15,58,0,1,156.124914
228,0,0,0,1,5,0,2011,2,20,228,8668.611261,21474,114,13,72,2,9,373.428187
229,0,0,1,1,3,0,2011,2,19,229,4960.965384,18174,66,8,16,0,9,395.934815
230,1,0,1,1,3,1,2011,2,8,230,5504.139033,0,73,18,45,0,5,350.4
231,1,0,2,0,2,1,2011,2,6,231,7507.455372,60920,64,10,61,0,2,231.201886
232,0,1,0,0,1,1,2011,2,27,232,32269.85139,41520,90,18,70,0,2,289.904105
233,0,2,1,0,2,0,2011,2,1,233,5657.031588,0,152,12,89,0,1,729.6
234,0,0,0,0,2,1,2011,2,23,234,5061.757902,0,68,19,16,0,8,326.4
235,0,0,1,0,2,0,2011,1,11,235,5912.783829,72208,73,3,84,0,8,350.4
236,0,0,1,0,1,2,2011,2,10,236,15182.27975,53863,63,12,30,0,2,105.765111
237,0,1,2,1,3,2,2011,2,25,237,10747.03094,66446,136,8,77,0,3,639.464548
238,0,0,2,0,2,0,2011,2,16,238,2050.623512,0,61,18,26,0,1,292.8
239,0,0,1,0,2,0,2011,1,30,239,2465.444865,64997,63,7,99,1,1,383.442328
240,0,0,0,1,5,0,2011,2,11,240,5343.121327,64460,66,18,42,0,3,316.8
241,0,0,2,0,0,2,2011,1,14,241,8119.829071,46618,67,22,77,0,2,99.085943
242,0,0,2,1,5,0,2011,2,14,242,4605.265164,0,64,13,64,0,4,307.2
243,0,1,2,0,1,2,2011,2,3,243,6408.785577,49988,84,6,37,5,5,566.935022
244,0,1,2,0,0,1,2011,1,31,244,2376.533508,0,91,2,8,5,1,436.8
245,0,1,1,1,4,1,2011,2,15,245,3211.070017,16269,86,6,84,0,1,412.8
246,0,0,1,0,0,1,2011,2,27,246,5094.522262,72006,64,4,38,0,3,307.2
247,0,1,0,0,1,0,2011,1,21,247,25755.27817,0,81,3,60,2,2,388.8
248,0,1,1,1,5,1,2011,1,14,248,8672.229719,0,245,34,83,0,1,2345.413441
249,0,0,3,0,1,1,2011,1,25,249,8044.73072,44320,67,13,79,0,2,321.6
250,0,2,0,0,2,1,2011,2,2,250,4001.519098,19782,108,13,66,0,1,773.470977
251,0,0,1,0,2,1,2011,2,9,251,16706.11699,63933,70,35,98,0,2,424.883448
252,0,0,4,0,2,1,2011,2,28,252,8544.411077,28224,109,13,13,0,8,523.2
253,1,0,2,0,2,0,2011,1,27,253,7805.31287,21073,106,25,54,1,3,508.8
254,0,1,1,0,2,2,2011,2,19,254,6112.756868,63243,77,21,73,0,3,364.240307
255,1,1,0,0,2,1,2011,2,18,255,4772.943848,20993,133,35,90,0,1,638.4
256,0,1,1,0,2,1,2011,2,14,256,10979.09559,94827,135,5,64,0,4,354.729129
257,0,0,3,0,2,0,2011,1,30,257,5004.263818,39161,63,18,83,1,4,283.995953
258,0,1,1,0,2,1,2011,2,9,258,13223.04379,37534,84,2,0,2,2,403.2
259,0,0,1,1,5,1,2011,2,6,259,2623.31543,80210,65,30,28,0,1,20.543176
260,0,0,1,0,0,0,2011,2,23,260,17840.19555,0,62,32,59,0,2,385.115437
261,0,0,2,0,0,1,2011,2,22,261,5106.111827,30110,64,2,4,0,5,140.165035
262,0,0,2,0,1,1,2011,1,16,262,17930.60451,21708,68,28,77,0,2,326.4
263,0,0,0,0,1,1,2011,2,2,263,5457.342569,94731,67,23,65,0,4,321.6
264,0,1,1,0,0,0,2011,2,22,264,6563.644143,32375,83,17,83,0,6,398.4
265,0,0,2,1,3,1,2011,1,3,265,4812.525221,16531,63,0,40,0,4,102.879769
266,0,1,3,1,5,1,2011,2,27,266,29328.04185,32006,94,28,7,0,2,56.868289
267,0,0,1,0,1,0,2011,2,15,267,5773.520711,81676,72,21,86,0,8,463.158502
268,0,1,2,1,3,1,2011,1,11,268,6847.1189,71038,86,15,56,0,3,205.444066
269,0,0,0,1,5,1,2011,1,21,269,3595.31286,0,103,20,43,0,1,741.6
270,0,0,3,0,2,1,2011,1,26,270,22855.61209,20832,65,8,32,0,2,56.371967
271,0,0,0,0,0,1,2011,1,1,271,7859.414569,0,113,19,10,0,7,813.6
272,0,2,0,0,2,1,2011,2,23,272,4115.577437,52405,103,2,27,0,1,494.4
273,0,1,0,0,2,0,2011,2,4,273,5029.638777,0,133,3,89,0,1,795.864079
274,0,1,1,0,1,1,2011,2,6,274,4821.418454,26583,128,6,46,4,1,614.4
275,0,0,3,2,8,1,2011,2,10,275,5004.310469,25486,65,15,53,0,3,72.438681
276,0,2,2,1,4,1,2011,1,2,276,8630.053943,24065,111,30,1,0,5,532.8
277,0,2,0,0,2,1,2011,2,10,277,9322.08512,70435,116,0,50,0,4,67.881546
278,0,1,2,0,2,1,2011,1,19,278,16727.56063,0,76,33,36,2,2,402.636829
279,0,1,0,0,2,1,2011,2,23,279,3652.532435,39679,92,2,85,0,1,641.388616
280,0,1,2,0,1,1,2011,1,7,280,6158.601171,0,89,13,45,0,5,342.481173
281,0,0,1,0,1,1,2011,1,14,281,4376.083958,0,69,21,70,4,3,331.2
282,0,0,0,0,2,0,2011,2,15,282,5569.456156,53565,71,27,34,1,6,340.8
283,0,0,1,0,0,1,2011,2,24,283,2576.513006,37574,66,19,14,1,1,412.101933
284,0,2,1,0,1,1,2011,2,2,284,8346.983233,48259,108,14,79,0,3,73.700573
285,0,1,0,0,2,1,2011,1,7,285,6323.923864,78532,78,25,87,0,3,374.4
286,0,0,1,1,5,1,2011,2,28,286,5973.14343,96163,73,23,90,0,3,350.4
287,0,0,1,0,1,1,2011,2,17,287,4706.676993,0,72,0,86,0,7,345.6
288,0,0,0,0,0,1,2011,2,12,288,8093.410258,0,114,9,72,1,5,722.024742
289,0,0,2,0,1,2,2011,1,9,289,5035.744643,72672,63,7,39,0,5,259.361117
290,0,2,1,0,0,1,2011,1,10,290,9027.867218,99002,112,33,75,1,8,537.6
291,0,1,0,0,1,2,2011,1,8,291,7288.884849,79494,91,19,30,0,3,396.295614
292,0,1,3,0,2,1,2011,1,25,292,18042.47942,35704,225,21,35,0,8,358.281562
293,0,0,1,1,4,0,2011,1,27,293,4992.063043,0,71,6,5,0,3,653.388564
294,0,2,0,0,1,2,2011,1,12,294,9102.267849,26049,118,17,6,0,6,121.032372
295,0,0,4,2,7,1,2011,1,16,295,2540.407726,70125,64,21,77,0,1,92.813396
296,0,0,2,0,2,1,2011,1,22,296,12941.89193,52369,110,34,49,1,2,528.0
