,id,state,gender,median_home_val,median_household_income,ic2,ic3,ic4,ic5,avggift,target_d
105,164306,Cali,F,2725.0,629,684.0,662,734.0,24424.0,15.0,30.0
106,113129,OK,F,359.0,220,247.0,270,299.0,13024.0,20.0,20.0
107,19094,CT,F,1373.0,472,463.0,504,517.0,17363.0,28.33333333,40.0
108,102224,NJ,J,1439.0,370,414.0,417,464.0,13353.0,6.125,6.0
109,155375,Cali,F,889.0,398,488.0,450,495.0,13782.0,5.846153846,6.0
110,185030,FL,M,824.0,248,274.0,288,326.0,15008.0,10.15384615,10.0
111,149887,Cali,M,1993.0,442,472.0,484,520.0,16427.0,10.83333333,15.0
112,117216,TX,F,618.0,233,310.0,302,394.0,12864.0,10.25,30.0
113,167892,Cali,F,3259.0,267,626.0,508,591.0,19399.0,7.666666667,10.0
114,107618,NE,F,151.0,180,208.0,230,273.0,9138.0,2.361111111,2.0
115,72410,MI,M,492.0,272,370.0,317,402.0,14442.0,14.57142857,20.0
116,112319,AR,Female,892.0,380,406.0,426,468.0,19444.0,17.0,30.0
117,28061,GA,F,948.0,531,530.0,585,584.0,19537.0,5.484848485,5.0
118,108371,LA,F,717.0,190,313.0,235,302.0,10888.0,24.16666667,20.0
119,187807,MI,M,612.0,330,326.0,392,400.0,13162.0,12.1,22.0
120,180383,WA,F,919.0,338,337.0,349,346.0,12507.0,8.214285713999999,11.0
121,183013,WA,male,697.0,317,364.0,337,406.0,13561.0,10.0,11.0
122,187769,Cali,M,5059.0,693,752.0,751,847.0,29368.0,10.6,25.0
123,191056,Cali,M,5667.0,492,808.0,594,848.0,51280.0,28.83333333,47.0
124,151891,Cali,F,2750.0,668,701.0,717,781.0,26199.0,11.44444444,15.0
125,5822,KS,F,513.0,400,434.0,436,482.0,20842.0,6.07675,11.0
126,164969,Cali,F,1848.0,505,515.0,560,581.0,19729.0,5.684210526,7.0
127,172846,Cali,M,1417.0,406,341.0,519,508.0,18590.0,14.11111111,10.0
128,95951,IL,F,347.0,210,255.0,229,286.0,10356.0,8.076923077,20.0
129,18089,NC,M,994.0,404,475.0,485,530.0,17420.0,13.77777778,25.0
130,35276,FL,F,3542.0,642,690.0,807,843.0,53131.0,6.642857143,10.0
131,18607,NC,M,797.0,377,418.0,423,451.0,16163.0,7.769230769,23.0
132,61275,IN,M,791.0,361,407.0,390,428.0,13805.0,7.6363636360000005,12.0
133,36141,FL,F,957.0,408,399.0,450,459.0,17718.0,15.0,10.0
134,85716,MN,F,357.0,164,214.0,215,254.0,8443.0,25.0,25.0
135,154195,Cali,F,896.0,336,362.0,389,418.0,14513.0,20.0,20.0
136,46755,AL,F,402.0,232,249.0,276,300.0,10540.0,4.833333333,5.0
137,13239,FL,M,3083.0,166,270.0,233,332.0,16019.0,2.916666667,3.0
138,86068,SD,F,460.0,247,357.0,300,372.0,11245.0,9.363636364,5.0
139,67900,MI,M,294.0,279,355.0,391,404.0,10385.0,17.5,20.0
140,59610,IN,F,1199.0,547,556.0,597,605.0,20694.0,10.0,15.0
141,13378,CA,F,1125.0,280,336.0,305,362.0,10857.0,5.714285714,7.0
142,20752,NC,M,974.0,252,279.0,300,330.0,13321.0,8.533333333,13.0
143,30934,GA,M,316.0,213,238.0,254,280.0,8956.0,12.5,15.0
144,102163,MO,F,825.0,401,463.0,464,555.0,28003.0,25.0,30.0
145,128976,TX,F,642.0,271,284.0,306,312.0,9453.0,6.142857143,10.0
146,44088,IN,M,1263.0,468,517.0,548,601.0,26265.0,7.6875,10.0
147,154931,CA,F,1809.0,454,466.0,503,543.0,15886.0,8.0,10.0
148,87939,IL,M,5294.0,1035,1165.0,1012,1065.0,60053.0,13.0,30.0
149,140779,NV,F,1161.0,448,484.0,536,570.0,20691.0,5.75,6.0
150,113838,OK,F,295.0,150,203.0,195,248.0,8962.0,6.333333333,8.0
151,156568,CA,F,3020.0,756,765.0,809,823.0,26135.0,40.08333333,75.0
152,130485,CO,F,431.0,258,342.0,386,541.0,25828.0,8.571428571,16.0
153,101803,MO,F,544.0,264,283.0,326,340.0,16194.0,11.0,25.0
154,41899,FL,M,618.0,223,278.0,278,335.0,13341.0,7.846153846,10.0
155,30795,GA,M,323.0,183,207.0,201,210.0,7139.0,5.444444444,10.0
156,133256,ID,M,1104.0,511,528.0,534,566.0,17366.0,13.0,10.0
157,151203,CA,U,2135.0,417,417.0,433,456.0,18907.0,8.2,5.0
158,31425,GA,M,671.0,287,365.0,372,441.0,16517.0,4.8888888889999995,16.0
159,70524,MI,F,510.0,228,370.0,324,394.0,12576.0,10.8,23.0
160,161229,CA,F,650.0,302,302.0,315,318.0,7080.0,8.666666667000001,21.0
161,83181,MN,F,487.0,248,287.0,286,327.0,10792.0,12.72727273,15.0
162,143528,CA,F,2925.0,288,305.0,353,376.0,23046.0,7.523809524,10.0
163,42970,FL,M,884.0,242,268.0,271,313.0,13491.0,4.428571429,3.0
164,83708,MN,F,753.0,341,393.0,373,442.0,15502.0,8.4,10.0
165,101390,MO,F,594.0,337,350.0,343,347.0,13094.0,2.5714285709999998,2.0
166,77898,WI,male,627.0,367,427.0,394,444.0,15350.0,7.5,10.0
167,77345,WI,male,806.0,331,420.0,382,447.0,15120.0,13.2,16.0
168,142579,CA,F,3149.0,504,601.0,562,672.0,22033.0,10.71428571,20.0
169,162209,CA,F,5266.0,495,675.0,669,785.0,43828.0,9.2,10.0
170,171396,CA,M,1401.0,441,445.0,462,466.0,15438.0,5.0,6.0
171,129530,CO,M,593.0,163,180.0,207,230.0,9520.0,12.5,10.0
172,33773,FL,F,915.0,308,357.0,367,438.0,17783.0,13.0,20.0
173,10031,NE,F,456.0,258,311.0,314,381.0,13411.0,7.285714286,10.0
174,62056,IN,M,610.0,319,336.0,384,407.0,11815.0,4.625,7.0
175,11494,FL,M,1229.0,469,502.0,507,544.0,17313.0,8.4,5.0
176,44847,FL,M,428.0,140,196.0,171,208.0,9064.0,9.769230769,10.0
177,94851,IL,F,2333.0,316,643.0,420,744.0,33535.0,7.307692307999999,10.0
178,15668,NC,M,707.0,383,400.0,398,433.0,13852.0,9.333333332999999,45.0
179,175579,OR,F,377.0,171,199.0,219,187.0,21980.0,16.66666667,20.0
180,150534,CA,U,1624.0,380,382.0,407,408.0,9685.0,5.0,4.0
181,68441,MI,F,348.0,184,269.0,264,316.0,11686.0,27.5,30.0
182,157185,CA,F,1878.0,523,526.0,564,566.0,16084.0,6.785652174,5.0
183,90816,IL,F,777.0,378,386.0,396,423.0,14106.0,17.8,20.0
184,94915,IL,F,1463.0,117,439.0,266,523.0,13344.0,12.16666667,15.0
185,118392,TX,M,375.0,153,214.0,206,248.0,7798.0,5.347826087,12.0
186,187571,IN,F,561.0,302,301.0,323,331.0,10873.0,19.66666667,26.0
187,21659,NC,M,502.0,199,250.0,229,261.0,8726.0,7.875,10.0
188,157672,CA,M,4206.0,789,804.0,834,850.0,37411.0,12.66666667,10.0
189,64166,IN,M,800.0,283,398.0,338,425.0,15160.0,16.6,23.0
190,185304,CO,M,1472.0,625,653.0,687,732.0,27469.0,15.21428571,21.0
191,57963,KY,F,492.0,332,450.0,425,471.0,21410.0,8.4375,10.0
192,98249,IL,F,609.0,314,347.0,349,385.0,11360.0,6.666666667,10.0
193,153689,CA,F,2430.0,604,610.0,659,669.0,20529.0,9.5,20.0
194,157807,CA,M,2559.0,581,591.0,614,651.0,21559.0,10.25,16.0
195,41715,FL,F,696.0,272,357.0,358,427.0,16474.0,3.3,3.0
196,45356,FL,M,762.0,254,355.0,327,411.0,17458.0,6.608695652000001,8.0
197,163506,CA,F,3556.0,735,701.0,838,805.0,34382.0,15.85714286,15.0
198,107727,NE,F,441.0,260,321.0,300,353.0,12452.0,5.279069767,7.0
199,64212,IN,F,502.0,319,363.0,341,388.0,12989.0,15.66666667,20.0
200,60252,IN,M,673.0,284,330.0,335,373.0,15149.0,13.45454546,15.0
201,45101,FL,F,1173.0,322,424.0,407,494.0,18738.0,4.125,3.0
202,36528,FL,F,934.0,323,373.0,376,400.0,9980.0,25.0,25.0
203,38820,FL,M,1332.0,357,411.0,422,497.0,21444.0,9.576923077,20.0
204,133906,ID,F,451.0,225,261.0,262,294.0,10244.0,15.0,10.0
205,12226,CO,F,649.0,238,273.0,272,302.0,10417.0,5.4117647060000005,8.0
206,8696,OK,F,590.0,410,439.0,433,456.0,13115.0,13.0,11.0
207,119368,TX,F,500.0,291,316.0,314,379.0,19609.0,11.5,25.0
208,14319,FL,M,368.0,230,271.0,261,295.0,9547.0,10.7,19.0
209,118408,TX,M,427.0,315,365.0,340,377.0,11299.0,9.0,15.0
210,146585,CA,F,1458.0,173,191.0,220,249.0,8381.0,4.243243243,8.0
211,120115,TX,M,274.0,154,214.0,199,256.0,8881.0,40.875,200.0
212,57463,KY,F,584.0,274,287.0,336,341.0,15105.0,11.14285714,10.0
213,94394,IL,F,553.0,306,309.0,333,348.0,9296.0,8.916666667000001,10.0
214,155135,CA,M,903.0,321,406.0,358,390.0,10985.0,6.75,7.0
215,149595,CA,M,2545.0,361,304.0,386,358.0,14300.0,12.5,17.0
216,166606,CA,F,1778.0,411,480.0,439,503.0,18236.0,39.44444444,50.0
217,8240,CA,F,1187.0,328,366.0,393,428.0,13978.0,10.81481482,10.0
218,185904,TX,F,1448.0,651,667.0,698,724.0,24736.0,7.076923077000001,13.0
219,49351,AL,Male,712.0,377,398.0,446,472.0,15013.0,14.2,15.0
220,191779,FL,M,1432.0,636,693.0,680,772.0,35544.0,25.0,150.0
221,169881,CA,F,2598.0,470,557.0,562,661.0,31631.0,8.222222222000001,15.0
222,144356,CA,F,2855.0,311,385.0,484,537.0,18525.0,6.538461539,20.0
223,186528,TX,F,535.0,244,437.0,317,402.0,17053.0,9.8125,15.0
224,14161,WA,male,703.0,161,206.0,206,232.0,8860.0,7.818181817999999,10.0
225,190839,IL,M,662.0,352,406.0,394,456.0,13460.0,12.5,15.0
226,146269,CA,F,2973.0,576,591.0,624,654.0,18497.0,7.25,10.0
227,188507,CA,F,2289.0,631,647.0,657,679.0,22571.0,9.769230769,10.0
228,116251,TX,F,1274.0,789,798.0,804,825.0,26360.0,6.409090909,10.0
229,81945,WI,male,840.0,458,471.0,513,548.0,20327.0,15.0,20.0
230,8989,WA,F,1024.0,441,451.0,446,472.0,13462.0,10.5,32.0
231,47282,AL,F,558.0,336,354.0,382,398.0,13299.0,7.5,15.0
232,2950,MT,M,717.0,306,315.0,333,358.0,11279.0,4.85,2.0
233,87771,IL,F,1667.0,541,603.0,592,624.0,21458.0,13.33333333,20.0
234,167934,WA,F,843.0,423,424.0,475,486.0,16476.0,10.72727273,21.0
235,26045,GA,F,583.0,360,374.0,405,434.0,24198.0,9.666666667000001,14.0
236,661,CA,M,1801.0,495,534.0,475,525.0,18663.0,19.47058824,20.0
237,47569,AL,F,863.0,406,527.0,459,562.0,19862.0,9.153846154,10.0
238,176743,OR,M,335.0,140,157.0,154,170.0,6682.0,4.8571428569999995,7.0
239,188164,TX,F,1362.0,575,645.0,627,718.0,21447.0,8.533333333,10.0
240,134364,UT,F,700.0,252,257.0,281,302.0,12806.0,20.0,20.0
241,93742,IL,F,562.0,360,480.0,388,474.0,12391.0,20.0,30.0
242,39479,FL,M,1287.0,479,508.0,567,616.0,20795.0,4.105769231,4.0
243,54142,TN,F,476.0,210,254.0,272,310.0,10171.0,13.0,21.0
244,168038,CA,M,5939.0,1214,1211.0,1080,1085.0,64833.0,20.0,36.0
245,48675,AL,F,648.0,353,418.0,357,453.0,16873.0,7.0,5.0
246,158980,CA,M,1862.0,365,372.0,401,425.0,10521.0,17.85714286,20.0
247,153888,CA,F,1843.0,515,511.0,575,582.0,23660.0,19.0,10.0
248,162300,CA,M,5190.0,870,892.0,871,918.0,39481.0,9.888888889,20.0
249,163081,CA,M,3912.0,351,410.0,404,454.0,19508.0,6.0,7.0
250,14000,OK,F,1537.0,791,783.0,916,949.0,32640.0,11.0625,12.0
251,6599,WA,F,719.0,330,340.0,389,416.0,14248.0,10.86666667,11.0
252,135454,AZ,M,1074.0,469,472.0,510,516.0,18042.0,8.823529412000001,15.0
253,128643,TX,M,298.0,268,281.0,267,303.0,9838.0,6.625,4.0
254,116420,TX,M,1951.0,807,838.0,870,896.0,31111.0,9.333333332999999,20.0
255,35101,FL,M,1434.0,388,479.0,513,577.0,18405.0,18.0,20.0
256,75474,IA,M,206.0,229,251.0,267,288.0,9248.0,11.66666667,15.0
257,785,MI,M,613.0,146,267.0,209,349.0,13209.0,17.5,18.0
258,27624,GA,F,991.0,493,506.0,532,548.0,17344.0,7.769230769,8.0
259,73754,MI,F,900.0,343,420.0,386,465.0,16254.0,13.31818182,25.0
260,141189,NV,F,1163.0,468,493.0,511,548.0,18824.0,53.0,25.0
261,1544,HI,F,3260.0,509,542.0,552,581.0,19165.0,13.0,10.0
262,124149,TX,M,430.0,237,283.0,281,320.0,10269.0,12.0,14.0
263,85890,SD,F,167.0,214,273.0,247,290.0,9452.0,14.41176471,20.0
264,37005,FL,F,1380.0,260,325.0,299,371.0,13011.0,7.875,11.0
265,166324,CA,U,3357.0,284,455.0,343,447.0,24240.0,11.85714286,19.0
266,13448,CA,F,1518.0,150,171.0,208,218.0,5043.0,5.055555556,5.0
267,180428,WA,male,1390.0,426,430.0,463,470.0,15022.0,18.0,20.0
268,12517,MO,M,1224.0,575,577.0,608,611.0,18029.0,2.8125,1.0
269,99246,IL,F,182.0,171,217.0,242,278.0,9240.0,10.26666667,20.0
270,174760,OR,F,786.0,419,452.0,444,466.0,15010.0,4.555555556,5.0
271,124379,TX,M,308.0,161,186.0,204,219.0,6576.0,4.5,5.0
272,176862,OR,F,1074.0,232,252.0,294,309.0,15070.0,10.04347826,20.0
273,188986,AZ,M,885.0,367,408.0,417,454.0,21767.0,9.714285713999999,9.0
274,148906,CA,F,2375.0,371,363.0,411,363.0,15361.0,4.1428571430000005,6.0
275,109646,LA,M,657.0,265,293.0,303,325.0,12509.0,9.472222222000001,10.0
276,62295,IN,F,581.0,369,372.0,369,383.0,12835.0,25.5,20.0
277,162650,CA,M,3010.0,410,518.0,431,559.0,19149.0,8.333333332999999,5.0
278,99836,MO,M,548.0,262,355.0,298,342.0,12621.0,15.0,21.0
279,33994,FL,M,819.0,348,388.0,421,459.0,15958.0,7.090909091,6.0
280,93432,IL,F,613.0,212,245.0,294,355.0,11792.0,6.0,11.0
281,62786,IN,F,431.0,280,314.0,310,347.0,11052.0,8.235294117999999,11.0
282,44634,FL,M,710.0,254,287.0,325,391.0,15970.0,7.285714286,10.0
283,146914,CA,F,3673.0,515,675.0,589,725.0,31773.0,6.5,10.0
284,70079,MI,F,365.0,98,310.0,221,330.0,9470.0,15.0,15.0
285,24871,SC,F,682.0,366,464.0,421,498.0,14538.0,9.666666667000001,16.0
286,150660,UT,F,901.0,327,336.0,411,437.0,17854.0,10.20588235,12.0
287,169700,California,M,1676.0,371,336.0,398,372.0,13231.0,5.571428571,25.0
288,63542,IN,F,445.0,332,398.0,370,423.0,13662.0,14.55555556,26.0
289,125164,TX,F,588.0,316,383.0,344,381.0,14293.0,22.6,50.0
290,65634,MI,F,413.0,95,171.0,123,231.0,9020.0,10.16666667,12.0
291,59285,IN,F,522.0,225,349.0,326,403.0,13669.0,12.0,10.0
292,78802,WI,J,667.0,293,385.0,334,422.0,17527.0,15.0,15.0
293,186460,WI,F,303.0,175,217.0,219,253.0,7115.0,10.375,20.0
294,114579,OK,M,633.0,399,442.0,439,517.0,17637.0,13.16666667,10.0
295,23184,SC,F,391.0,214,243.0,242,269.0,9853.0,14.0,10.0
296,125289,TX,F,707.0,246,283.0,291,327.0,15322.0,5.25,7.0
297,10502,MI,M,1179.0,464,496.0,462,501.0,15910.0,13.46666667,15.0
298,46844,AL,Male,453.0,219,264.0,263,299.0,9654.0,7.0,10.0
299,162814,CA,M,3365.0,544,525.0,655,621.0,27608.0,6.2,10.0
300,89653,IL,M,1315.0,328,384.0,398,472.0,15767.0,4.818181818,3.0
301,170818,CA,F,668.0,187,191.0,239,240.0,6845.0,6.0,10.0
302,6147,SC,M,399.0,221,266.0,259,302.0,10150.0,13.90909091,24.0
303,14276,CA,F,3200.0,267,292.0,325,338.0,11115.0,13.2,15.0
304,120166,TX,F,289.0,171,226.0,224,283.0,9765.0,9.214285713999999,12.0
305,156817,CA,F,1796.0,266,271.0,334,337.0,10720.0,20.0,20.0
306,35476,FL,M,625.0,259,282.0,299,309.0,11072.0,17.14285714,25.0
307,155382,CA,F,978.0,290,324.0,349,381.0,13490.0,15.85,30.0
308,104049,MO,M,367.0,159,186.0,193,222.0,8893.0,3.166666667,3.0
309,112461,AR,M,376.0,178,195.0,231,256.0,8246.0,9.411764706,10.0
310,79580,WI,F,937.0,321,441.0,433,545.0,18567.0,15.0,21.0
311,86528,ND,F,675.0,272,310.0,301,358.0,13135.0,3.083333333,3.0
312,107658,NE,F,232.0,197,259.0,229,280.0,9480.0,6.928571429,10.0
313,69537,MI,F,545.0,364,382.0,400,416.0,11401.0,8.6,15.0
314,81284,WI,F,458.0,228,270.0,276,318.0,10731.0,13.4,25.0
315,32475,FL,M,814.0,271,268.0,312,324.0,10488.0,16.4,20.0
316,104505,KS,F,671.0,320,340.0,349,376.0,12950.0,10.0,25.0
317,13483,WI,F,452.0,293,316.0,339,371.0,10979.0,6.34,17.0
318,1042,OR,M,826.0,314,348.0,390,426.0,14958.0,9.1875,8.0
319,28337,GA,M,860.0,324,351.0,346,375.0,15491.0,11.33333333,20.0
320,67808,MI,F,185.0,277,283.0,312,286.0,10788.0,8.787878787999999,10.0
321,35017,FL,M,576.0,200,280.0,244,324.0,12518.0,12.90909091,10.0
322,10973,CA,M,2431.0,563,579.0,655,660.0,24290.0,10.89473684,12.0
323,67030,MI,M,388.0,364,410.0,413,433.0,12601.0,33.33333333,50.0
324,122279,TX,F,1680.0,884,878.0,943,935.0,27875.0,5.076923077,5.0
325,18802,NC,M,1128.0,409,467.0,442,481.0,15936.0,14.5,20.0
326,90092,IL,F,916.0,434,421.0,458,457.0,12450.0,18.46153846,10.0
327,98821,IL,F,340.0,185,228.0,235,275.0,10719.0,9.0,10.0
328,116186,TX,M,711.0,322,353.0,360,378.0,12630.0,11.95454546,10.0
329,18359,NC,female,412.0,215,259.0,271,315.0,9706.0,6.444444444,10.0
330,128970,TX,F,893.0,443,463.0,508,527.0,17519.0,9.25,14.0
331,172635,CA,M,644.0,191,222.0,243,272.0,9569.0,11.44444444,16.0
332,106508,KS,F,440.0,219,261.0,260,288.0,10985.0,12.0,20.0
333,81067,WI,F,363.0,76,127.0,115,158.0,9086.0,15.0,15.0
334,169106,California,F,1745.0,397,512.0,485,521.0,18427.0,8.0,5.0
335,106898,NE,F,672.0,302,416.0,348,449.0,14981.0,6.631578947,5.0
336,24747,SC,F,1419.0,661,697.0,700,741.0,23212.0,9.0,15.0
337,144906,California,U,3781.0,494,609.0,543,606.0,22770.0,20.0,20.0
338,40516,FL,F,1938.0,483,787.0,629,807.0,47363.0,12.33333333,21.0
339,172530,California,F,1495.0,323,334.0,348,351.0,14923.0,5.714285714,7.0
340,72438,MI,M,561.0,351,353.0,368,373.0,13150.0,8.75,10.0
341,144076,California,M,5980.0,1500,1500.0,1124,1217.0,94863.0,38.75,50.0
342,130609,CO,M,1412.0,499,601.0,538,606.0,24758.0,12.0,16.0
