Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount
ON44465,California,NA,High School or Below,531329.40%,0,77.0000000000,1/1/00,Personal Auto,Four-Door Car,863.3947
TV87155,Oregon,NA,Bachelor,2094619.25%,69738,74.0000000000,1/1/00,Personal Auto,Four-Door Car,492.127532
KH48895,AZ,NA,Master,837535.39%,17780,109.0000000000,1/0/00,Personal Auto,SUV,132.588288
NZ30757,California,NA,Bachelor,480166.15%,18107,62.0000000000,1/0/00,Personal Auto,Four-Door Car,297.6
RI22468,AZ,NA,Bachelor,574594.33%,57740,74.0000000000,1/3/00,Personal Auto,Four-Door Car,269.905129
FZ30935,Oregon,NA,College,606611.60%,32627,76.0000000000,1/0/00,Personal Auto,Two-Door Car,380.036697
UG93476,California,NA,College,800230.83%,0,107.0000000000,1/0/00,Personal Auto,SUV,513.6
AB96670,California,NA,College,239391.54%,0,70.0000000000,1/0/00,Personal Auto,Four-Door Car,425.266308
XK64261,Oregon,NA,Bachelor,476281.79%,65795,62.0000000000,1/1/00,Corporate Auto,Two-Door Car,49.011099
EV68375,California,NA,College,433038.60%,60475,107.0000000000,1/0/00,Personal Auto,Four-Door Car,513.6
UN51653,California,NA,High School or Below,940272.98%,0,130.0000000000,1/0/00,Personal Auto,SUV,936
TO96662,Oregon,NA,Bachelor,696669.45%,41837,88.0000000000,1/0/00,Personal Auto,Four-Door Car,142.062768
MR52087,California,NA,Bachelor,769406.43%,32303,65.0000000000,1/0/00,Personal Auto,Four-Door Car,45.152521
DE75225,Oregon,NA,High School or Below,871756.11%,0,117.0000000000,1/1/00,Personal Auto,SUV,561.6
EP80820,California,NA,Bachelor,592874.85%,40531,74.0000000000,1/0/00,Personal Auto,Two-Door Car,30.567357
GU99037,Oregon,NA,College,245297.73%,79898,62.0000000000,1/1/00,Corporate Auto,Four-Door Car,271.606799
WI57118,California,NA,College,670157.17%,56398,85.0000000000,1/0/00,Personal Auto,Four-Door Car,408
GP39118,Washington,M,High School or Below,499655.27%,71600,63.0000000000,1/0/00,Personal Auto,Two-Door Car,46.158117
MQ14219,AZ,NA,College,849269.88%,27804,109.0000000000,1/0/00,Personal Auto,SUV,784.8
KN20603,Oregon,NA,Bachelor,771349.40%,45506,66.0000000000,1/2/00,Personal Auto,Four-Door Car,316.8
SG20925,Washington,F,Master,518579.76%,99428,6464.0000000000,1/1/00,Personal Auto,Four-Door Car,48.046869
JI70886,California,NA,High School or Below,729006.98%,0,102.0000000000,1/1/00,Corporate Auto,SUV,489.6
VF72557,Oregon,NA,High School or Below,477294.38%,20993,133.0000000000,1/0/00,Personal Auto,SUV,638.4
OX28638,AZ,NA,High School or Below,680649.14%,37839,86.0000000000,1/0/00,Personal Auto,Two-Door Car,465.633954
SK55033,California,NA,Bachelor,246978.13%,92711,62.0000000000,1/0/00,Personal Auto,Two-Door Car,368.400146
OO88645,California,NA,College,310392.30%,74665,78.0000000000,1/2/00,Corporate Auto,Four-Door Car,236.902001
FM14335,Washington,F,College,1048491.54%,61108,89.0000000000,1/0/00,Personal Auto,Four-Door Car,49.451117
CW82151,California,NA,Bachelor,890273.76%,46833,112.0000000000,1/0/00,Personal Auto,Sports Car,64.109663
DY22043,Oregon,NA,High School or Below,549944.72%,88768,68.0000000000,1/0/00,Personal Auto,Two-Door Car,326.4
SH36774,California,NA,High School or Below,1502359.86%,28262,192.0000000000,1/0/00,Personal Auto,Luxury SUV,921.6
EM43724,Nevada,NA,Bachelor,250910.79%,33555,63.0000000000,1/0/00,Personal Auto,Four-Door Car,101.89645
FH85960,Oregon,NA,College,3122174.81%,42780,113.0000000000,1/1/00,Personal Auto,Four-Door Car,542.4
XA55993,Oregon,NA,Master,313350.34%,58850,78.0000000000,1/0/00,Personal Auto,Four-Door Car,143.747794
GO36627,AZ,NA,College,383745.19%,21880,97.0000000000,1/0/00,Special Auto,Four-Door Car,424.077159
QH48047,Oregon,NA,College,1179049.62%,25251,66.0000000000,1/0/00,Personal Auto,Four-Door Car,316.8
HS28694,Washington,F,High School or Below,282986.39%,25317,71.0000000000,1/0/00,Personal Auto,Two-Door Car,50.422181
UH65059,AZ,NA,High School or Below,430580.83%,24188,109.0000000000,1/0/00,Personal Auto,Sports Car,523.2
FV21968,Nevada,NA,Bachelor,597397.69%,41611,74.0000000000,1/0/00,Special Auto,Four-Door Car,113.801497
QA87025,Oregon,NA,Bachelor,567044.24%,28406,72.0000000000,1/1/00,Personal Auto,Four-Door Car,192.87572
TQ13499,AZ,NA,College,473174.93%,69833,118.0000000000,1/0/00,Personal Auto,Four-Door Car,828.662719
BU44523,AZ,NA,High School or Below,802637.96%,0,74.0000000000,1/0/00,Corporate Auto,Four-Door Car,532.8
MS41162,AZ,NA,High School or Below,402296.35%,0,117.0000000000,1/0/00,Personal Auto,SUV,975.107098
PU25891,Oregon,NA,High School or Below,961831.09%,80536,119.0000000000,1/0/00,Special Auto,Sports Car,53.798708
LH92841,Washington,F,Bachelors,725595.38%,88891,89.0000000000,1/0/00,Personal Auto,Four-Door Car,50.528355
SX26335,Oregon,NA,College,955292.69%,97732,79.0000000000,1/0/00,Personal Auto,Four-Door Car,289.9122
AZ95587,AZ,F,Bachelor,1038855.32%,61222,89.0000000000,1/0/00,Special Auto,Four-Door Car,392.604371
DS81757,Oregon,M,College,247012.12%,0,74.0000000000,1/0/00,Personal Auto,Two-Door Car,721.242206
OJ94107,AZ,M,Master,561906.85%,50335,140.0000000000,1/0/00,Personal Auto,SUV,456.52385
LP84436,California,F,High School or Below,904711.92%,0,127.0000000000,1/0/00,Personal Auto,Sports Car,1087.995426
FF22360,Washington,F,Doctor,268731.41%,82210,68.0000000000,1/4/00,Personal Auto,Four-Door Car,51.961915
LM19287,Oregon,F,High School or Below,373150.46%,0,96.0000000000,1/0/00,Personal Auto,Four-Door Car,460.8
ZU18643,Nevada,M,Bachelor,366077.03%,64495,92.0000000000,1/0/00,Corporate Auto,Four-Door Car,251.992083
AZ82578,California,F,College,792882.93%,0,72.0000000000,1/0/00,Corporate Auto,Four-Door Car,345.6
XC67861,Arizona,F,Bachelor,501175.16%,28859,67.0000000000,1/3/00,Corporate Auto,Two-Door Car,321.6
YC43143,Arizona,F,High School or Below,798825.83%,77330,99.0000000000,1/0/00,Personal Auto,Four-Door Car,99.257608
EK59571,Oregon,M,College,388545.64%,0,105.0000000000,1/0/00,Corporate Auto,Four-Door Car,504
PA38372,Washington,F,High School or Below,935773.78%,33060,117.0000000000,1/0/00,Personal Auto,Four-Door Car,56.731578
RO18530,Washington,M,Master,254068.98%,42557,65.0000000000,1/0/00,Personal Auto,Four-Door Car,57.562324
PD27940,Arizona,M,High School or Below,488516.25%,26372,126.0000000000,1/0/00,Personal Auto,SUV,604.8
BS77946,Arizona,F,Bachelor,975330.71%,17514,127.0000000000,1/0/00,Personal Auto,SUV,8.312729
YM50253,California,Femal,Bachelor,294615.37%,89270,74.0000000000,1/0/00,Personal Auto,Four-Door Car,316.599228
NR15332,California,M,High School or Below,258111.09%,29757,65.0000000000,1/0/00,Personal Auto,Four-Door Car,312
RC62865,Oregon,M,College,351738.58%,51814,92.0000000000,1/0/00,Personal Auto,Four-Door Car,56.300724
CC15295,Oregon,F,Bachelor,974335.01%,24028,82.0000000000,1/0/00,Personal Auto,Four-Door Car,393.6
KA61892,Arizona,M,College,387364.70%,28142,105.0000000000,1/0/00,Personal Auto,Sports Car,701.708239
OS94884,Arizona,F,Bachelor,764928.20%,52705,64.0000000000,1/1/00,Personal Auto,Two-Door Car,128.705563
ND87334,California,M,High School or Below,228759.69%,0,63.0000000000,1/0/00,Corporate Auto,Two-Door Car,679.368378
OY51402,Washington,F,High School or Below,825576.39%,54040,103.0000000000,1/0/00,Personal Auto,SUV,59.987126
YL74911,California,F,College,871492.21%,0,118.0000000000,1/0/00,Personal Auto,SUV,566.4
GK92563,Washington,F,Doctor,681923.12%,22492,85.0000000000,1/0/00,Personal Auto,Two-Door Car,61.654262
HL53154,California,M,Bachelor,741619.73%,0,77.0000000000,1/2/00,Personal Auto,Four-Door Car,554.4
RI78966,Oregon,M,Master,777115.90%,21876,68.0000000000,1/0/00,Personal Auto,Four-Door Car,465.41477
IC13702,California,F,Bachelor,696834.19%,0,69.0000000000,1/1/00,Personal Auto,Four-Door Car,496.8
BE10809,California,F,High School or Below,425028.26%,0,61.0000000000,1/1/00,Personal Auto,Four-Door Car,292.8
HT87217,Oregon,F,High School or Below,1977656.65%,70699,82.0000000000,1/0/00,Personal Auto,Four-Door Car,256.813837
TH95618,California,F,High School or Below,2134346.60%,0,74.0000000000,1/1/00,Personal Auto,Four-Door Car,355.2
TS19868,California,M,College,241313.97%,27501,63.0000000000,1/0/00,Personal Auto,Four-Door Car,542.319401
LP45550,Oregon,F,Doctor,1536384.72%,15897,101.0000000000,1/0/00,Personal Auto,Four-Door Car,303.148399
QR87004,Nevada,F,College,845696.19%,25141,73.0000000000,1/1/00,Personal Auto,Four-Door Car,25.438063
OE75747,Nevada,F,College,218964.25%,0,61.0000000000,1/3/00,Personal Auto,Four-Door Car,292.8
DX91392,California,M,High School or Below,578018.22%,51066,74.0000000000,1/0/00,Personal Auto,Four-Door Car,787.993313
AB72731,California,F,Bachelor,463998.16%,28358,117.0000000000,1/0/00,Personal Auto,Sports Car,84.024413
GX84338,Washington,F,Doctor,382443.13%,62530,95.0000000000,1/0/00,Personal Auto,Four-Door Car,61.693771
IS12901,Arizona,F,Bachelor,596811.89%,90972,74.0000000000,1/0/00,Personal Auto,Two-Door Car,232.926145
BN90616,Washington,F,Bachelor,859033.50%,63110,72.0000000000,1/0/00,Personal Auto,Four-Door Car,68.179721
HH90090,California,F,Bachelor,407663.47%,29549,104.0000000000,1/0/00,Personal Auto,Sports Car,710.433775
IU25463,California,F,Bachelor,1225260.18%,0,115.0000000000,1/1/00,Personal Auto,Four-Door Car,552
KC11055,Nevada,F,Bachelor,1693627.15%,39411,217.0000000000,1/2/00,Personal Auto,Luxury Car,1122.658899
PD33979,Oregon,M,High School or Below,489243.55%,21709,62.0000000000,1/0/00,Personal Auto,Four-Door Car,408.374746
NK71023,Nevada,M,Bachelor,994230.48%,67890,85.0000000000,1/0/00,Personal Auto,Four-Door Car,408
AB13432,California,M,Bachelor,373583.81%,0,110.0000000000,1/0/00,Personal Auto,SUV,792
OZ97704,California,F,High School or Below,1311752.22%,84311,111.0000000000,1/4/00,Personal Auto,SUV,532.8
UF46533,California,F,College,457452.41%,99316,114.0000000000,1/0/00,Corporate Auto,SUV,754.358929
XP47431,Arizona,F,Bachelor,547006.06%,54507,138.0000000000,1/0/00,Personal Auto,SUV,702.990032
GK73582,California,F,Bachelor,297884.60%,64586,76.0000000000,1/0/00,Personal Auto,Four-Door Car,206.837111
RV98763,Oregon,M,College,641096.75%,61709,82.0000000000,1/2/00,Personal Auto,Four-Door Car,275.395894
II62831,California,M,Master,447902.31%,94656,111.0000000000,1/1/00,Special Auto,SUV,459.738128
XK33449,California,F,High School or Below,238373.19%,0,69.0000000000,1/0/00,Special Auto,Two-Door Car,496.8
TR85083,California,M,Bachelor,276449.37%,61085,70.0000000000,1/1/00,Personal Auto,Two-Door Car,336
EO95328,Oregon,F,Bachelor,792010.54%,89284,67.0000000000,1/3/00,Personal Auto,Two-Door Car,321.6
EN21086,Arizona,F,High School or Below,688909.80%,0,63.0000000000,1/0/00,Personal Auto,Four-Door Car,302.4
YL83902,WA,F,Bachelor,327419.46%,31686,81.0000000000,1/0/00,Personal Auto,Four-Door Car,430.994107
AZ62651,Oregon,M,High School or Below,995170.77%,56855,255.0000000000,1/0/00,Corporate Auto,Luxury SUV,1836
ZW25874,Oregon,M,Bachelor,252155.57%,53703,67.0000000000,1/2/00,Special Auto,Four-Door Car,67.632476
EH41854,WA,F,High School or Below,2370611.34%,0,96.0000000000,1/1/00,Personal Auto,Two-Door Car,844.481918
MW70227,California,M,College,604702.52%,20396,76.0000000000,1/1/00,Personal Auto,Four-Door Car,364.8
SL22297,California,F,Master,1114030.25%,27679,150.0000000000,1/0/00,Personal Auto,SUV,722.486994
RV14138,Nevada,F,Bachelor,433406.41%,23904,123.0000000000,1/3/00,Personal Auto,SUV,590.4
UO62808,Arizona,F,High School or Below,279974.79%,65351,69.0000000000,1/0/00,Corporate Auto,Four-Door Car,481.027516
ZX64745,California,M,College,792313.66%,0,113.0000000000,1/0/00,Personal Auto,SUV,1124.427734
FL34139,California,M,High School or Below,368811.09%,0,63.0000000000,1/3/00,Personal Auto,Four-Door Car,669.682001
TS11219,California,M,College,1206745.60%,0,116.0000000000,1/0/00,Personal Auto,SUV,1284.093173
XX12304,California,F,College,292497.67%,64459,72.0000000000,1/0/00,Personal Auto,Four-Door Car,240.259479
SD64087,California,M,College,1501409.27%,32961,190.0000000000,1/0/00,Corporate Auto,SUV,912
OY38576,Oregon,F,High School or Below,927723.38%,71416,116.0000000000,1/0/00,Corporate Auto,SUV,556.8
BG76355,WA,F,Bachelor,627412.39%,68964,78.0000000000,1/0/00,Personal Auto,Four-Door Car,115.086827
IP66913,Cali,M,High School or Below,388664.74%,78108,98.0000000000,1/0/00,Personal Auto,Two-Door Car,470.4
LE95702,Cali,M,College,438627.76%,10621,67.0000000000,1/0/00,Special Auto,Four-Door Car,321.6
KX54357,WA,M,College,1136526.77%,84910,95.0000000000,1/0/00,Corporate Auto,Two-Door Car,383.167471
EZ78112,Cali,Femal,High School or Below,561096.43%,77493,70.0000000000,1/0/00,Special Auto,Four-Door Car,307.963291
XN16891,Arizona,M,College,291289.20%,81097,74.0000000000,1/0/00,Personal Auto,Four-Door Car,355.2
XK31350,Oregon,Femal,College,691572.99%,96610,85.0000000000,1/0/00,Corporate Auto,Four-Door Car,520.364752
CC30924,Oregon,M,College,626266.33%,30110,159.0000000000,1/0/00,Corporate Auto,Sports Car,466.436375
IT78748,Oregon,Femal,High School or Below,650339.70%,22081,84.0000000000,1/0/00,Special Auto,Two-Door Car,451.670309
KY33386,WA,Femal,High School or Below,800739.94%,0,112.0000000000,1/0/00,Personal Auto,Sports Car,537.6
CO44221,Cali,M,College,292991.65%,98473,72.0000000000,1/0/00,Personal Auto,Four-Door Car,345.6
LK60013,Oregon,Femal,Bachelor,596955.30%,97431,74.0000000000,1/0/00,Personal Auto,Four-Door Car,355.2
DE21533,Cali,M,Bachelor,547315.99%,93870,69.0000000000,1/0/00,Personal Auto,Four-Door Car,331.2
YS94121,Nevada,M,High School or Below,564539.67%,50366,72.0000000000,1/0/00,Personal Auto,Four-Door Car,428.734656
UK68427,WA,M,High School or Below,636926.24%,34498,83.0000000000,1/0/00,Personal Auto,Two-Door Car,398.4
TE49565,Oregon,Femal,College,1183376.73%,16552,103.0000000000,1/0/00,Personal Auto,SUV,494.4
RA88421,Oregon,Femal,College,612110.79%,26787,77.0000000000,1/0/00,Personal Auto,Four-Door Car,369.6
KQ51983,Nevada,M,College,515936.97%,0,74.0000000000,1/0/00,Personal Auto,Two-Door Car,831.752839
CD88896,Nevada,Femal,High School or Below,251459.20%,43860,65.0000000000,1/0/00,Corporate Auto,Four-Door Car,156.124914
YV22553,Arizona,M,High School or Below,866861.13%,21474,114.0000000000,1/2/00,Corporate Auto,SUV,373.428187
WU14435,Cali,M,Bachelor,496096.54%,18174,66.0000000000,1/0/00,Corporate Auto,Four-Door Car,395.934815
XV84099,Arizona,Femal,Bachelor,550413.90%,0,73.0000000000,1/0/00,Corporate Auto,Four-Door Car,350.4
RI24911,Arizona,Male,College,750745.54%,60920,64.0000000000,1/0/00,Personal Auto,Two-Door Car,231.201886
KO26461,Arizona,Male,High School or Below,3226985.14%,41520,90.0000000000,1/0/00,Personal Auto,Four-Door Car,289.904105
HI14283,Oregon,Femal,Bachelor,565703.16%,0,152.0000000000,1/0/00,Personal Auto,SUV,729.6
PT50227,Arizona,Male,High School or Below,506175.79%,0,68.0000000000,1/0/00,Personal Auto,Two-Door Car,326.4
BH36570,Cali,Male,Bachelor,591278.38%,72208,73.0000000000,1/0/00,Personal Auto,Two-Door Car,350.4
TX17484,Cali,Femal,Bachelor,1518227.98%,53863,63.0000000000,1/0/00,Personal Auto,Four-Door Car,105.765111
CT41158,WA,Male,College,1074703.09%,66446,136.0000000000,1/0/00,Corporate Auto,SUV,639.464548
AO87348,WA,Male,College,205062.35%,0,61.0000000000,1/0/00,Personal Auto,Four-Door Car,292.8
DE55857,WA,Femal,Bachelor,246544.49%,64997,63.0000000000,1/1/00,Personal Auto,Four-Door Car,383.442328
LF66923,Nevada,Femal,High School or Below,534312.13%,64460,66.0000000000,1/0/00,Corporate Auto,Two-Door Car,316.8
CN24514,Arizona,Femal,College,811982.91%,46618,67.0000000000,1/0/00,Personal Auto,Four-Door Car,99.085943
UW32074,Oregon,Femal,College,460526.52%,0,64.0000000000,1/0/00,Corporate Auto,Four-Door Car,307.2
