,Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Vehicle Type
18,ZC97968,California,2736.352663,No,Basic,College,2/14/11,Disabled,M,17533,Suburban,Married,73,10.0,1,0.0,1,Personal Auto,Personal L3,Offer1,Agent,350.4,Two-Door Car,Medsize,A
19,NJ54277,California,3746.751625,Yes,Extended,College,2/26/11,Employed,F,41479,Rural,Married,94,14.0,38,1.0,1,Personal Auto,Personal L2,Offer2,Call Center,19.575683,Two-Door Car,Large,A
20,OM80593,California,7247.313475,No,Basic,Bachelor,2/23/11,Unemployed,F,0,Suburban,Single,104,9.0,58,0.0,7,Personal Auto,Personal L3,Offer1,Call Center,499.2,SUV,Medsize,A
21,RL65736,Oregon,6274.447705,No,Extended,High School or Below,2/14/11,Medical Leave,F,13662,Suburban,Single,85,29.0,37,0.0,3,Personal Auto,Personal L1,Offer1,Agent,408.0,Four-Door Car,Small,nan
22,EQ62488,Oregon,15031.5645,No,Basic,College,1/15/11,Employed,F,59456,Suburban,Married,189,11.0,7,0.0,8,Personal Auto,Personal L3,Offer2,Call Center,907.2,Luxury Car,Large,A
23,NQ71171,California,5107.071054,No,Basic,Bachelor,2/2/11,Employed,M,70174,Rural,Married,64,,80,,7,Personal Auto,Personal L2,Offer1,Agent,128.90032,Four-Door Car,Medsize,nan
24,YK32760,Oregon,2502.209885,No,Basic,High School or Below,2/15/11,Unemployed,M,0,Suburban,Divorced,74,26.0,95,1.0,1,Corporate Auto,Corporate L1,Offer1,Agent,355.2,Four-Door Car,Medsize,A
25,AY59197,Nevada,9521.222806,No,Extended,College,1/24/11,Employed,M,27769,Rural,Married,121,24.0,78,0.0,6,Special Auto,Special L3,Offer4,Agent,123.15416,SUV,Small,A
26,XF15789,Arizona,8869.619888,No,Basic,College,2/21/11,Employed,F,81350,Rural,Married,110,1.0,28,0.0,9,Personal Auto,Personal L3,Offer3,Branch,228.185834,SUV,Large,A
27,MQ68407,Oregon,4376.3635920000000,Yes,Premium,Bachelor,2/28/11,Employed,F,63774,Rural,Divorced,111,18.0,63,0.0,1,Personal Auto,Personal L3,Offer2,Agent,60.036683,Four-Door Car,Medsize,nan
28,CI99444,Nevada,2926.886293,No,Basic,College,2/22/11,Employed,F,92381,Urban,Married,72,24.0,27,0.0,1,Special Auto,Special L2,Offer2,Call Center,234.774747,Four-Door Car,Medsize,A
29,BD70337,California,24706.92011,No,Basic,High School or Below,1/7/11,Medical Leave,M,26307,Urban,Married,73,26.0,1,0.0,2,Personal Auto,Personal L2,Offer4,Call Center,313.1924390000000,Four-Door Car,Medsize,nan
30,GX19342,California,8491.465719,No,Premium,High School or Below,1/28/11,Unemployed,F,0,Suburban,Single,116,3.0,97,0.0,3,Personal Auto,Personal L3,Offer1,Branch,1193.115879,Four-Door Car,Large,A
31,DP19210,California,9191.733549,No,Basic,Master,2/8/11,Employed,F,23823,Suburban,Married,115,5.0,39,0.0,6,Corporate Auto,Corporate L2,Offer2,Branch,567.48055,Sports Car,Medsize,nan
32,OJ63606,Arizona,5776.338737,No,Premium,High School or Below,1/28/11,Medical Leave,F,27510,Suburban,Married,159,5.0,28,3.0,1,Corporate Auto,Corporate L3,Offer1,Call Center,871.457982,SUV,Small,A
33,OH23893,California,9115.57169,No,Basic,Bachelor,2/15/11,Employed,F,69588,Rural,Married,114,19.0,45,0.0,6,Personal Auto,Personal L1,Offer1,Branch,173.080024,SUV,Medsize,nan
34,RI76930,California,4163.04081,No,Basic,College,2/12/11,Employed,F,43276,Suburban,Married,104,16.0,11,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,499.2,SUV,Large,nan
35,YK26558,California,5264.642009,No,Basic,College,2/20/11,Unemployed,F,0,Rural,Divorced,72,30.0,26,0.0,8,Special Auto,Special L3,Offer1,Branch,135.888306,Four-Door Car,Medsize,nan
36,OE15005,California,3945.241604,No,Basic,College,1/5/11,Medical Leave,M,28855,Suburban,Married,101,12.0,59,0.0,1,Personal Auto,Personal L2,Offer3,Call Center,647.4420310000000,SUV,Medsize,nan
37,RA17555,Oregon,5176.730072,No,Basic,High School or Below,2/7/11,Employed,M,41533,Urban,Married,65,2.0,46,0.0,9,Corporate Auto,Corporate L2,Offer3,Agent,232.879766,Four-Door Car,Medsize,nan
38,ZI34278,Arizona,4492.23348,No,Basic,Bachelor,1/28/11,Medical Leave,F,21137,Suburban,Single,61,29.0,62,1.0,6,Personal Auto,Personal L1,Offer2,Web,292.8,Four-Door Car,Medsize,nan
39,XD72019,Oregon,8470.043225,No,Extended,Bachelor,2/19/11,Unemployed,F,0,Suburban,Single,82,1.0,13,0.0,2,Personal Auto,Personal L2,Offer2,Web,479.312226,Four-Door Car,Large,A
40,RR93140,California,2880.348532,No,Basic,College,1/5/11,Employed,F,81565,Urban,Married,71,19.0,54,0.0,1,Personal Auto,Personal L2,Offer2,Branch,190.642833,Four-Door Car,Medsize,A
41,BE25221,Arizona,6182.618843,No,Extended,High School or Below,2/7/11,Medical Leave,M,20072,Suburban,Married,82,35.0,51,0.0,9,Corporate Auto,Corporate L3,Offer1,Agent,473.266879,Four-Door Car,Medsize,nan
42,PV62583,Nevada,9799.175061,No,Extended,College,1/3/11,Medical Leave,M,22166,Suburban,Married,126,10.0,22,0.0,6,Personal Auto,Personal L3,Offer1,Web,604.8,SUV,Medsize,A
43,BL12371,Arizona,5790.565333,No,Basic,Master,2/3/11,Employed,M,84551,Rural,Divorced,72,10.0,82,0.0,5,Personal Auto,Personal L3,Offer2,Agent,28.92584,Four-Door Car,Large,A
44,ER49844,Arizona,5041.447024,No,Basic,College,1/19/11,Employed,M,61972,Rural,Married,64,2.0,52,2.0,5,Personal Auto,Personal L1,Offer4,Call Center,138.961963,Four-Door Car,Medsize,nan
45,RI22468,Arizona,5745.94334,No,Basic,Bachelor,1/22/11,Employed,F,57740,Urban,Married,74,30.0,87,3.0,9,Personal Auto,Personal L1,Offer3,Web,269.905129,Four-Door Car,Medsize,A
46,SY48591,Arizona,4827.77681,No,Basic,College,1/17/11,Unemployed,F,0,Suburban,Single,68,29.0,91,0.0,6,Personal Auto,Personal L3,Offer1,Branch,326.4,Four-Door Car,Medsize,nan
47,PR23514,California,7664.219255,No,Basic,College,1/23/11,Employed,M,60184,Rural,Divorced,199,7.0,44,1.0,1,Personal Auto,Personal L3,Offer2,Web,161.61574,Luxury SUV,Medsize,nan
48,UY32623,California,3593.12645,No,Extended,College,2/5/11,Disabled,F,18213,Suburban,Divorced,96,12.0,43,1.0,1,Corporate Auto,Corporate L2,Offer1,Branch,460.8,Four-Door Car,Large,A
49,QV30663,Nevada,9863.502214,No,Extended,Master,2/28/11,Employed,F,99654,Rural,Married,121,13.0,95,0.0,3,Personal Auto,Personal L3,Offer3,Call Center,272.788141,SUV,Medsize,A
50,MS94619,California,5111.304579,No,Basic,High School or Below,2/13/11,Employed,F,76448,Suburban,Married,63,9.0,13,0.0,3,Personal Auto,Personal L3,Offer3,Web,302.4,Four-Door Car,Medsize,A
51,FT56968,Arizona,2590.096027,No,Basic,High School or Below,1/3/11,Employed,M,22398,Suburban,Married,67,,76,,1,Personal Auto,Personal L1,Offer1,Agent,321.6,Four-Door Car,Large,A
52,TX39594,Arizona,2452.491364,No,Basic,High School or Below,1/25/11,Employed,F,51085,Suburban,Married,62,4.0,58,1.0,1,Personal Auto,Personal L3,Offer3,Call Center,406.902001,Two-Door Car,Small,nan
53,GR42174,Oregon,2194.668123,No,Basic,College,1/2/11,Unemployed,M,0,Suburban,Single,62,11.0,48,0.0,1,Personal Auto,Personal L3,Offer4,Call Center,623.525433,Four-Door Car,Medsize,nan
54,XI79589,California,4473.8839990000000,No,Extended,High School or Below,2/16/11,Unemployed,F,0,Suburban,Divorced,125,2.0,84,0.0,1,Personal Auto,Personal L1,Offer1,Branch,600.0,SUV,Medsize,nan
55,XQ74827,Arizona,19435.62924,No,Extended,High School or Below,2/1/11,Employed,F,38688,Suburban,Single,249,22.0,6,0.0,3,Special Auto,Special L3,Offer1,Agent,2294.631639,Luxury Car,Medsize,A
56,TW17878,Oregon,2457.576007,No,Basic,High School or Below,1/27/11,Employed,F,52926,Suburban,Married,61,2.0,92,0.0,1,Personal Auto,Personal L3,Offer1,Call Center,292.8,Four-Door Car,Medsize,nan
57,GB43363,Oregon,6870.607058,No,Premium,College,1/24/11,Unemployed,M,0,Suburban,Single,105,5.0,87,0.0,3,Personal Auto,Personal L3,Offer1,Branch,756.0,Four-Door Car,Small,A
58,BR69566,,14019.83314,,Basic,College,2/18/11,Employed,M,31739,Suburban,Divorced,71,10.0,29,0.0,2,Personal Auto,Personal L3,Offer4,Call Center,469.882367,Two-Door Car,Small,nan
59,EP83939,Arizona,5575.751228,No,Basic,High School or Below,1/26/11,Employed,M,91416,Rural,Married,69,,39,,5,Personal Auto,Personal L3,Offer2,Call Center,109.904496,Four-Door Car,Medsize,nan
60,IQ95180,Oregon,5651.396772,No,Basic,Bachelor,1/19/11,Employed,M,44634,Suburban,Married,71,16.0,99,1.0,9,Personal Auto,Personal L3,Offer1,Branch,396.035334,Four-Door Car,Small,A
61,JX52708,California,4556.068318,No,Basic,Bachelor,2/14/11,Medical Leave,M,25617,Suburban,Divorced,63,22.0,3,0.0,3,Personal Auto,Personal L3,Offer2,Call Center,302.4,Two-Door Car,Medsize,A
62,UF44021,,2108.493744000000,,Basic,Bachelor,1/2/11,Unemployed,M,0,Suburban,Single,61,8.0,91,0.0,1,Personal Auto,Personal L2,Offer1,Agent,351.85681,Two-Door Car,Medsize,nan
63,AV25133,Oregon,3095.705571,No,Extended,College,1/12/11,Unemployed,F,0,Suburban,Single,92,31.0,24,1.0,1,Personal Auto,Personal L3,Offer3,Web,774.892461,Two-Door Car,Small,nan
64,WL24392,Arizona,5860.16743,No,Basic,Bachelor,2/1/11,Employed,M,94527,Rural,Married,73,16.0,32,0.0,3,Personal Auto,Personal L1,Offer1,Agent,41.464402,Four-Door Car,Medsize,A
65,LO57874,Oregon,2300.691547,Yes,Basic,Bachelor,1/15/11,Retired,M,25905,Suburban,Divorced,63,21.0,12,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,302.4,Four-Door Car,Large,nan
66,UO54511,California,4950.250892,No,Basic,High School or Below,1/20/11,Employed,F,27400,Suburban,Married,63,14.0,78,1.0,9,Personal Auto,Personal L1,Offer3,Agent,302.4,Four-Door Car,Medsize,A
67,KR35099,Washington,7507.4553720000000,Yes,Basic,College,2/6/11,Employed,M,60920,Urban,Single,64,,61,,2,Personal Auto,Personal L3,Offer2,Agent,231.201886,Two-Door Car,Medsize,A
68,NY12562,Nevada,2224.0896390000000,No,Basic,College,1/5/11,Unemployed,F,0,Suburban,Single,64,20.0,4,0.0,1,Corporate Auto,Corporate L2,Offer2,Branch,483.25721,Four-Door Car,Medsize,A
69,QG27547,Oregon,2867.312197,Yes,Extended,Bachelor,1/3/11,Retired,F,23376,Suburban,Divorced,78,19.0,18,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Medsize,A
70,PH78214,Oregon,5427.174517,No,Basic,College,2/11/11,Medical Leave,F,27677,Suburban,Married,72,10.0,82,1.0,3,Personal Auto,Personal L3,Offer2,Agent,345.6,Four-Door Car,Medsize,nan
71,LO37570,Arizona,12157.5413,No,Extended,High School or Below,1/7/11,Employed,M,40432,Suburban,Married,77,21.0,66,0.0,2,Personal Auto,Personal L3,Offer3,Agent,369.6,Four-Door Car,Medsize,A
72,FH81409,California,8152.244431,No,Extended,High School or Below,1/21/11,Unemployed,M,0,Suburban,Single,79,19.0,70,0.0,2,Personal Auto,Personal L1,Offer1,Agent,568.8,Four-Door Car,Small,nan
73,RW65977,Arizona,2191.133237,No,Basic,College,1/29/11,Unemployed,M,0,Suburban,Single,61,9.0,16,1.0,1,Special Auto,Special L2,Offer1,Agent,439.2,Four-Door Car,Medsize,nan
74,LD75023,Oregon,26346.08582,No,Extended,High School or Below,1/20/11,Employed,M,48268,Suburban,Divorced,223,28.0,26,0.0,2,Personal Auto,Personal L2,Offer1,Web,1605.6,Luxury SUV,Medsize,nan
75,OZ92426,Oregon,2364.43161,No,Basic,College,1/18/11,Employed,M,46264,Urban,Single,62,17.0,75,0.0,1,Corporate Auto,Corporate L1,Offer4,Branch,199.37361,Four-Door Car,Medsize,nan
76,FI17798,California,2710.12066,No,Basic,Doctor,1/11/11,Unemployed,M,0,Suburban,Married,71,7.0,87,0.0,1,Personal Auto,Personal L3,Offer1,Agent,340.8,Four-Door Car,Small,nan
77,YC54142,Washington,74228.51604,No,Extended,High School or Below,1/26/11,Unemployed,M,0,Suburban,Single,242,1.0,34,0.0,2,Personal Auto,Personal L1,Offer1,Branch,1742.4,Luxury Car,Medsize,nan
78,LN28900,California,14687.07959,No,Extended,Bachelor,2/23/11,Unemployed,M,0,Suburban,Single,85,3.0,61,0.0,2,Personal Auto,Personal L1,Offer1,Web,612.0,Four-Door Car,Small,A
79,SX63814,Arizona,9312.585034,No,Premium,High School or Below,2/13/11,Employed,M,75986,Rural,Married,115,11.0,44,0.0,3,Personal Auto,Personal L3,Offer3,Call Center,89.11979700000000,Four-Door Car,Medsize,nan
80,VM85555,California,7750.120323,No,Basic,College,2/23/11,Employed,F,22668,Rural,Single,67,5.0,34,1.0,2,Personal Auto,Personal L2,Offer3,Branch,33.718553,Four-Door Car,Medsize,A
81,RO18530,Washington,2540.689797,No,Basic,Master,2/28/11,Employed,M,42557,Rural,Single,65,4.0,35,0.0,1,Personal Auto,Personal L3,Offer4,Agent,57.562324,Four-Door Car,Large,nan
82,FR48094,Arizona,2456.816127,No,Basic,High School or Below,2/15/11,Unemployed,M,0,Suburban,Single,73,15.0,59,0.0,1,Personal Auto,Personal L3,Offer4,Branch,525.6,Four-Door Car,Small,A
83,DY27653,Oregon,3755.806897,No,Extended,High School or Below,1/4/11,Employed,F,56178,Suburban,Married,94,1.0,39,0.0,1,Personal Auto,Personal L3,Offer2,Branch,451.2,Four-Door Car,Medsize,nan
84,OH69760,Arizona,5181.054467,No,Basic,College,2/2/11,Unemployed,F,0,Suburban,Married,70,,64,,7,Personal Auto,Personal L1,Offer1,Branch,336.0,Four-Door Car,Large,nan
85,CH50584,Oregon,32474.76977,No,Basic,High School or Below,1/22/11,Employed,M,71449,Suburban,Divorced,102,17.0,7,0.0,2,Personal Auto,Personal L3,Offer4,Call Center,734.4,SUV,Small,A
86,WM19996,California,8349.523082,No,Basic,Bachelor,1/9/11,Employed,M,45428,Urban,Divorced,109,,46,,3,Corporate Auto,Corporate L3,Offer1,Call Center,487.273964,SUV,Medsize,A
87,ZH92587,Oregon,8126.766397,No,Basic,College,2/22/11,Disabled,F,14616,Suburban,Married,107,,73,,3,Personal Auto,Personal L3,Offer1,Agent,513.6,,,nan
88,CJ51511,Arizona,13466.92071,Yes,Basic,High School or Below,2/23/11,Disabled,F,11432,Suburban,Married,119,,9,,2,Corporate Auto,Corporate L3,Offer2,Agent,571.2,,,nan
89,ME37450,Arizona,5210.348372,No,Basic,Bachelor,1/4/11,Employed,M,89781,Rural,Single,66,7.0,89,0.0,5,Special Auto,Special L2,Offer1,Agent,37.960537,,,A
90,KO86181,Oregon,6941.872931,No,Basic,College,2/11/11,Unemployed,F,0,Suburban,Single,111,3.0,73,3.0,6,Personal Auto,Personal L3,Offer1,Agent,532.8,SUV,Small,A
91,KD63933,California,7048.384055,No,Basic,College,2/19/11,Medical Leave,M,24030,Suburban,Single,194,14.0,0,0.0,1,Personal Auto,Personal L1,Offer1,Agent,970.688934,Luxury SUV,Medsize,nan
92,CM66204,Arizona,26770.44534,No,Basic,College,1/23/11,Employed,F,26335,Urban,Married,113,32.0,7,1.0,2,Personal Auto,Personal L2,Offer1,Call Center,355.818306,SUV,Large,nan
93,NV13794,Nevada,9549.113813,No,Basic,High School or Below,2/9/11,Employed,F,55986,Urban,Married,119,3.0,60,0.0,9,Personal Auto,Personal L1,Offer1,Agent,388.506303,SUV,Small,nan
94,HF75891,Washington,4331.460674,No,Basic,High School or Below,2/11/11,Employed,F,82302,Suburban,Married,106,11.0,92,0.0,1,Personal Auto,Personal L2,Offer1,Branch,722.178166,SUV,Medsize,nan
95,NB81923,Washington,7294.492993000000,No,Basic,College,2/24/11,Unemployed,F,0,Suburban,Single,113,12.0,66,2.0,7,Personal Auto,Personal L3,Offer1,Call Center,733.737214,Sports Car,Medsize,A
96,AV96010,Oregon,3289.120863,No,Extended,College,1/29/11,Employed,M,40097,Rural,Single,92,23.0,35,4.0,1,Personal Auto,Personal L2,Offer1,Call Center,227.221652,Two-Door Car,Medsize,nan
97,CA22248,Oregon,2505.42043,No,Basic,Master,2/14/11,Employed,F,60546,Rural,Single,63,21.0,71,0.0,1,Personal Auto,Personal L3,Offer2,Branch,46.278027,,,A
98,PK23339,Arizona,3417.9537450000000,No,Extended,High School or Below,1/25/11,Employed,F,72460,Urban,Married,85,9.0,76,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,370.018108,Four-Door Car,Medsize,A
99,JY66887,California,16320.76716,No,Extended,High School or Below,2/27/11,Unemployed,F,0,Suburban,Single,247,5.0,12,3.0,5,Personal Auto,Personal L2,Offer2,Branch,1778.4,Luxury Car,Medsize,nan
100,NH16984,California,2838.067784,No,Extended,Bachelor,2/7/11,Unemployed,F,0,Urban,Divorced,80,30.0,8,0.0,1,Personal Auto,Personal L1,Offer1,Web,336.50961,Four-Door Car,Medsize,nan
101,UV12583,California,4700.583771000000,No,Basic,College,2/18/11,Employed,F,76694,Suburban,Married,117,34.0,23,0.0,1,Personal Auto,Personal L1,Offer4,Agent,561.6,SUV,Medsize,A
102,VG56765,Arizona,2471.528431,Yes,Basic,High School or Below,1/15/11,Employed,M,95697,Rural,Married,61,16.0,55,0.0,1,Personal Auto,Personal L2,Offer2,Agent,114.273025,Two-Door Car,Medsize,A
103,AK11669,Arizona,10130.93442,No,Extended,Doctor,1/17/11,Employed,F,59232,Suburban,Divorced,85,6.0,75,0.0,2,Corporate Auto,Corporate L3,Offer3,Branch,408.0,Two-Door Car,Medsize,A
104,SZ60450,California,3419.108695000000,No,Extended,High School or Below,2/13/11,Employed,M,40272,Rural,Married,86,8.0,64,0.0,1,Personal Auto,Personal L3,Offer3,Agent,23.387192,Two-Door Car,Medsize,nan
105,MS87381,California,23866.15656,No,Extended,High School or Below,2/14/11,Unemployed,F,0,Suburban,Married,81,27.0,93,1.0,2,Personal Auto,Personal L2,Offer3,Branch,388.8,Four-Door Car,Medsize,A
106,LP47259,Arizona,8324.23271,No,Extended,High School or Below,1/1/11,Unemployed,M,0,Suburban,Single,121,,92,,5,Corporate Auto,Corporate L3,Offer2,Branch,871.2,Sports Car,Medsize,A
107,No31089,Arizona,3179.474225,No,Extended,Bachelor,1/21/11,Employed,F,65742,Urban,Married,79,6.0,0,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,277.36079700000000,Four-Door Car,Medsize,nan
108,SD83603,Oregon,6672.127831,No,Extended,College,2/13/11,Employed,F,56830,Urban,Married,83,,27,,9,Personal Auto,Personal L1,Offer2,Agent,319.799712,Two-Door Car,Medsize,A
109,TK65222,California,16407.66461,No,Premium,Bachelor,1/12/11,Employed,M,22103,Rural,Single,109,16.0,31,0.0,2,Personal Auto,Personal L2,Offer1,Agent,160.338007,Four-Door Car,Large,nan
110,HB48073,Arizona,9371.773682,No,Basic,Bachelor,2/1/11,Employed,F,66325,Urban,Married,117,10.0,10,0.0,5,Corporate Auto,Corporate L2,Offer1,Agent,497.719213,SUV,Medsize,A
111,DO60145,Arizona,4270.034394000000,Yes,Extended,College,1/19/11,Unemployed,M,0,Suburban,Married,122,27.0,2,0.0,1,Personal Auto,Personal L3,Offer2,Agent,725.870693,SUV,Medsize,nan
112,BA40043,California,5799.826802000000,No,Basic,College,1/3/11,Employed,M,60689,Rural,Single,74,29.0,67,0.0,7,Corporate Auto,Corporate L2,Offer2,Branch,5.746657,Four-Door Car,Medsize,nan
113,EC28398,Oregon,5096.673223,Yes,Basic,Master,1/28/11,Disabled,F,22886,Suburban,Divorced,65,9.0,81,0.0,3,Corporate Auto,Corporate L2,Offer1,Agent,312.0,Four-Door Car,Small,A
114,FE99816,Nevada,15563.36944,No,Premium,Bachelor,1/19/11,Unemployed,F,0,Suburban,Married,253,15.0,40,5.0,7,Personal Auto,Personal L1,Offer3,Web,1214.4,Luxury Car,Medsize,A
115,HS39343,Washington,7475.784971000000,No,Basic,Bachelor,1/26/11,Disabled,F,29633,Urban,Married,196,26.0,57,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,534.653787,Luxury Car,Medsize,A
116,GL44478,Oregon,9986.661111,No,Extended,High School or Below,1/22/11,Disabled,M,24067,Suburban,Single,132,12.0,2,0.0,6,Corporate Auto,Corporate L3,Offer2,Branch,633.6,Sports Car,Medsize,nan
117,EF84269,California,5568.656492,No,Extended,College,2/21/11,Employed,F,51489,Rural,Married,139,14.0,10,0.0,1,Personal Auto,Personal L2,Offer1,Web,236.739322,SUV,Medsize,A
118,RD22761,Washington,20579.69157,No,Basic,Bachelor,1/16/11,Unemployed,M,0,Suburban,Single,69,5.0,26,0.0,2,Personal Auto,Personal L3,Offer3,Call Center,566.673518,Four-Door Car,Medsize,A
119,DO41287,Oregon,8276.44416,No,Extended,High School or Below,2/18/11,Unemployed,M,0,Suburban,Single,82,29.0,92,0.0,2,Personal Auto,Personal L2,Offer3,Branch,590.4,Four-Door Car,Medsize,A
120,OO89057,California,4014.332715,No,Extended,Master,2/17/11,Employed,F,54054,Rural,Married,99,7.0,55,0.0,1,Personal Auto,Personal L2,Offer2,Branch,5.661684000000000,Four-Door Car,Medsize,nan
121,DQ92905,Arizona,12989.81806,No,Basic,Bachelor,2/24/11,Unemployed,M,0,Suburban,Single,65,16.0,3,0.0,2,Personal Auto,Personal L3,Offer1,Web,312.0,Four-Door Car,Medsize,nan
122,EW33419,California,15114.40241,Yes,Basic,High School or Below,1/19/11,Medical Leave,F,28513,Suburban,Married,100,4.0,22,1.0,2,Corporate Auto,Corporate L2,Offer2,Call Center,480.0,SUV,Medsize,A
123,KH16079,Washington,4709.52218,No,Basic,High School or Below,2/12/11,Unemployed,F,0,Suburban,Single,66,17.0,29,0.0,3,Personal Auto,Personal L1,Offer1,Agent,470.57611900000000,Four-Door Car,Small,A
124,GU99037,Oregon,2452.977288,No,Basic,College,2/14/11,Employed,M,79898,Urban,Married,62,5.0,86,1.0,1,Corporate Auto,Corporate L1,Offer4,Agent,271.606799,Four-Door Car,Medsize,nan
125,BM92346,California,3919.366722,Yes,Extended,High School or Below,1/5/11,Employed,F,66676,Suburban,Married,97,0.0,40,0.0,1,Personal Auto,Personal L1,Offer3,Agent,558.099357,Four-Door Car,Small,nan
126,TE60343,,4716.264294,,Basic,High School or Below,2/25/11,Employed,M,25746,Suburban,Married,61,0.0,84,1.0,3,Corporate Auto,Corporate L3,Offer2,Agent,292.8,Four-Door Car,Medsize,A
127,RU75949,Oregon,12332.51669,No,Basic,College,2/28/11,Employed,M,85789,Rural,Married,105,18.0,54,2.0,2,Personal Auto,Personal L1,Offer1,Agent,122.302824,Sports Car,Medsize,nan
128,PP35705,California,35862.99324,No,Extended,High School or Below,2/26/11,Medical Leave,M,26376,Suburban,Divorced,121,7.0,19,0.0,2,Personal Auto,Personal L3,Offer1,Agent,580.8,SUV,Small,nan
