,response,coverage,education,policy_type,policy,vehicle_size,year,month,day,Customer Lifetime Value,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Total Claim Amount
158,1,0,2,0,2,1,2011,1,20,3873.647046,28142,105,18,50,0,1,701.708239
159,0,0,1,0,1,2,2011,1,6,7649.28199,52705,64,14,8,1,2,128.705563
160,0,0,0,1,5,1,2011,2,22,2287.59692,0,63,1,5,0,1,679.368378
161,0,0,2,0,0,1,2011,2,27,4475.424592,84903,111,7,63,0,1,497.126827
162,1,0,2,0,2,1,2011,2,21,8714.922135,0,118,14,64,0,4,566.4
163,1,0,1,0,0,1,2011,1,29,2248.449633,24910,63,7,63,1,1,347.857619
164,0,1,1,0,2,1,2011,2,22,7416.197322,0,77,15,12,2,2,554.4
165,0,0,3,0,2,0,2011,2,21,7771.158973,21876,68,12,28,0,2,465.41477
166,0,0,1,0,2,0,2011,1,10,6968.3419,0,69,33,61,1,2,496.8
167,1,0,0,0,0,0,2011,1,18,4250.282624,0,61,17,1,1,7,292.8
168,0,1,0,0,1,1,2011,1,16,19776.56654,70699,82,1,57,0,2,256.813837
169,0,0,0,0,1,1,2011,1,6,21343.46599,0,74,11,85,1,2,355.2
170,0,0,2,0,0,1,2011,1,27,2413.139714,27501,63,20,0,0,1,542.319401
171,0,2,4,0,2,1,2011,1,15,15363.84716,15897,101,30,99,0,2,303.148399
172,0,0,2,0,2,1,2011,1,9,8456.961887,25141,73,12,4,1,2,25.438063
173,0,0,2,0,1,0,2011,1,28,2189.642522,0,61,5,46,3,1,292.8
174,1,0,0,0,1,1,2011,2,26,5780.182197,51066,74,23,0,0,8,787.993313
175,0,0,1,0,1,1,2011,1,4,4639.981638,28358,117,24,37,0,1,84.024413
176,0,0,2,0,1,1,2011,2,1,4465.335703,61846,112,1,48,0,1,215.8182
177,0,0,1,0,2,1,2011,1,27,5968.118877,90972,74,3,47,0,8,232.926145
178,0,0,2,0,2,1,2011,2,14,5097.763337,0,74,3,95,0,7,532.8
179,0,0,1,0,1,0,2011,1,23,4076.634665,29549,104,17,51,0,1,710.433775
180,0,2,1,0,1,1,2011,2,18,12252.60179,0,115,12,17,1,2,552.0
181,0,1,1,0,2,1,2011,1,24,16936.27147,39411,217,4,29,2,4,1122.658899
182,0,0,0,0,1,2,2011,2,18,4892.435461,21709,62,28,17,0,3,408.374746
183,0,1,1,0,1,0,2011,1,19,9942.304791,67890,85,23,57,0,2,408.0
184,0,0,1,0,2,1,2011,1,4,3735.838129,0,110,3,16,0,1,792.0
185,0,0,0,0,2,0,2011,2,7,13117.52215,84311,111,11,98,4,2,532.8
186,0,0,2,1,5,1,2011,1,30,4574.524094,99316,114,26,53,0,1,754.358929
187,1,1,1,0,0,1,2011,2,17,5470.060561,54507,138,20,11,0,1,702.990032
188,0,1,1,0,0,1,2011,1,13,2978.84601,64586,76,3,17,0,1,206.837111
189,0,1,2,0,2,1,2011,2,8,6410.967544,61709,82,5,41,2,7,275.395894
190,0,0,3,2,7,1,2011,1,29,4479.023088,94656,111,12,79,1,1,459.738128
191,0,0,0,2,8,0,2011,2,5,2383.731879,0,69,5,40,0,1,496.8
192,0,0,1,0,2,1,2011,1,20,2764.493659,61085,70,27,34,1,1,336.0
193,0,0,1,0,1,0,2011,1,27,7920.105377,89284,67,7,31,3,2,321.6
194,0,0,0,0,1,0,2011,1,9,6889.097981,0,63,6,12,0,2,302.4
195,0,1,1,0,2,0,2011,1,11,3274.194616,31686,81,11,33,0,1,430.994107
196,0,2,0,1,5,1,2011,2,17,9951.707743,56855,255,12,1,0,1,1836.0
197,0,0,1,2,8,1,2011,2,16,2521.555686,53703,67,3,45,2,1,67.632476
198,0,1,0,0,0,1,2011,2,10,23706.11337,0,96,12,35,1,2,844.481918
199,1,1,2,0,0,1,2011,2,19,6047.02516,20396,76,15,60,1,4,364.8
200,0,2,3,0,0,1,2011,1,21,11140.30248,27679,150,30,28,0,3,722.486994
201,1,1,1,0,2,1,2011,2,27,4334.064096,23904,123,1,67,3,1,590.4
202,0,0,0,1,3,1,2011,2,4,2799.74791,65351,69,4,54,0,1,481.027516
203,0,0,2,0,1,1,2011,1,18,7923.136624,0,113,20,1,0,7,1124.427734
204,0,0,0,0,1,1,2011,2,3,3688.110888,0,63,0,54,3,7,669.682001
205,0,0,2,0,1,1,2011,1,2,12067.45599,0,116,14,35,0,2,1284.093173
206,0,0,2,0,0,1,2011,1,9,2924.976721,64459,72,16,64,0,1,240.259479
207,0,2,2,1,4,0,2011,1,19,15014.0927,32961,190,13,53,0,3,912.0
208,0,0,0,1,5,1,2011,1,11,9277.233839,71416,116,10,0,0,3,556.8
209,0,1,1,0,2,1,2011,1,31,6274.123875,68964,78,15,6,0,3,115.086827
210,0,1,0,0,2,0,2011,1,11,3886.647414,78108,98,12,34,0,1,470.4
211,1,0,2,2,8,1,2011,2,11,4386.277558,10621,67,28,22,0,5,321.6
212,0,1,2,1,5,0,2011,1,22,11365.26766,84910,95,4,69,0,2,383.167471
213,0,0,0,2,8,1,2011,2,24,5610.96434,77493,70,2,35,0,3,307.963291
214,0,0,2,0,0,0,2011,2,28,2912.892035,81097,74,7,67,0,1,355.2
215,0,1,2,1,3,2,2011,1,25,6915.729915,96610,85,6,23,0,3,520.364752
216,0,2,2,1,5,0,2011,2,26,6262.663307,30110,159,20,71,0,1,466.436375
217,1,1,0,2,8,0,2011,2,19,6503.397049,22081,84,1,9,0,6,451.670309
218,1,0,0,0,2,1,2011,1,2,8007.399376,0,112,12,93,0,3,537.6
219,0,0,2,0,0,1,2011,1,2,2929.916512,98473,72,19,69,0,1,345.6
220,0,0,1,0,1,1,2011,1,26,5969.55297,97431,74,1,72,0,3,355.2
221,0,0,1,0,1,1,2011,2,2,5473.15987,93870,69,1,96,0,8,331.2
222,0,0,0,0,0,0,2011,2,27,5645.396665,50366,72,9,5,0,9,428.734656
223,1,1,0,0,2,0,2011,1,20,6369.262355,34498,83,30,72,0,7,398.4
224,0,0,2,0,2,0,2011,1,17,11833.76732,16552,103,23,53,0,2,494.4
225,0,1,2,0,2,1,2011,1,17,6121.107929,26787,77,7,50,0,5,369.6
226,0,0,2,0,0,1,2011,2,24,5159.369746,0,74,2,42,0,9,831.752839
227,1,0,0,1,5,1,2011,2,14,2514.59196,43860,65,15,58,0,1,156.124914
228,0,0,0,1,5,0,2011,2,20,8668.611261,21474,114,13,72,2,9,373.428187
229,0,0,1,1,3,0,2011,2,19,4960.965384,18174,66,8,16,0,9,395.934815
230,1,0,1,1,3,1,2011,2,8,5504.139033,0,73,18,45,0,5,350.4
231,1,0,2,0,2,1,2011,2,6,7507.455372,60920,64,10,61,0,2,231.201886
232,0,1,0,0,1,1,2011,2,27,32269.85139,41520,90,18,70,0,2,289.904105
233,0,2,1,0,2,0,2011,2,1,5657.031588,0,152,12,89,0,1,729.6
234,0,0,0,0,2,1,2011,2,23,5061.757902,0,68,19,16,0,8,326.4
235,0,0,1,0,2,0,2011,1,11,5912.783829,72208,73,3,84,0,8,350.4
236,0,0,1,0,1,2,2011,2,10,15182.27975,53863,63,12,30,0,2,105.765111
237,0,1,2,1,3,2,2011,2,25,10747.03094,66446,136,8,77,0,3,639.464548
238,0,0,2,0,2,0,2011,2,16,2050.623512,0,61,18,26,0,1,292.8
239,0,0,1,0,2,0,2011,1,30,2465.444865,64997,63,7,99,1,1,383.442328
240,0,0,0,1,5,0,2011,2,11,5343.121327,64460,66,18,42,0,3,316.8
241,0,0,2,0,0,2,2011,1,14,8119.829071,46618,67,22,77,0,2,99.085943
242,0,0,2,1,5,0,2011,2,14,4605.265164,0,64,13,64,0,4,307.2
243,0,1,2,0,1,2,2011,2,3,6408.785577,49988,84,6,37,5,5,566.935022
244,0,1,2,0,0,1,2011,1,31,2376.533508,0,91,2,8,5,1,436.8
245,0,1,1,1,4,1,2011,2,15,3211.070017,16269,86,6,84,0,1,412.8
246,0,0,1,0,0,1,2011,2,27,5094.522262,72006,64,4,38,0,3,307.2
247,0,1,0,0,1,0,2011,1,21,25755.27817,0,81,3,60,2,2,388.8
248,0,1,1,1,5,1,2011,1,14,8672.229719,0,245,34,83,0,1,2345.413441
249,0,0,3,0,1,1,2011,1,25,8044.73072,44320,67,13,79,0,2,321.6
250,0,2,0,0,2,1,2011,2,2,4001.519098,19782,108,13,66,0,1,773.470977
251,0,0,1,0,2,1,2011,2,9,16706.11699,63933,70,35,98,0,2,424.883448
252,0,0,4,0,2,1,2011,2,28,8544.411077,28224,109,13,13,0,8,523.2
253,1,0,2,0,2,0,2011,1,27,7805.31287,21073,106,25,54,1,3,508.8
254,0,1,1,0,2,2,2011,2,19,6112.756868,63243,77,21,73,0,3,364.240307
255,1,1,0,0,2,1,2011,2,18,4772.943848,20993,133,35,90,0,1,638.4
256,0,1,1,0,2,1,2011,2,14,10979.09559,94827,135,5,64,0,4,354.729129
257,0,0,3,0,2,0,2011,1,30,5004.263818,39161,63,18,83,1,4,283.995953
258,0,1,1,0,2,1,2011,2,9,13223.04379,37534,84,2,0,2,2,403.2
259,0,0,1,1,5,1,2011,2,6,2623.31543,80210,65,30,28,0,1,20.543176
260,0,0,1,0,0,0,2011,2,23,17840.19555,0,62,32,59,0,2,385.115437
261,0,0,2,0,0,1,2011,2,22,5106.111827,30110,64,2,4,0,5,140.165035
262,0,0,2,0,1,1,2011,1,16,17930.60451,21708,68,28,77,0,2,326.4
263,0,0,0,0,1,1,2011,2,2,5457.342569,94731,67,23,65,0,4,321.6
264,0,1,1,0,0,0,2011,2,22,6563.644143,32375,83,17,83,0,6,398.4
265,0,0,2,1,3,1,2011,1,3,4812.525221,16531,63,0,40,0,4,102.879769
266,0,1,3,1,5,1,2011,2,27,29328.04185,32006,94,28,7,0,2,56.868289
267,0,0,1,0,1,0,2011,2,15,5773.520711,81676,72,21,86,0,8,463.158502
268,0,1,2,1,3,1,2011,1,11,6847.1189,71038,86,15,56,0,3,205.444066
269,0,0,0,1,5,1,2011,1,21,3595.31286,0,103,20,43,0,1,741.6
270,0,0,3,0,2,1,2011,1,26,22855.61209,20832,65,8,32,0,2,56.371967
271,0,0,0,0,0,1,2011,1,1,7859.414569,0,113,19,10,0,7,813.6
272,0,2,0,0,2,1,2011,2,23,4115.577437,52405,103,2,27,0,1,494.4
273,0,1,0,0,2,0,2011,2,4,5029.638777,0,133,3,89,0,1,795.864079
274,0,1,1,0,1,1,2011,2,6,4821.418454,26583,128,6,46,4,1,614.4
275,0,0,3,2,8,1,2011,2,10,5004.310469,25486,65,15,53,0,3,72.438681
276,0,2,2,1,4,1,2011,1,2,8630.053943,24065,111,30,1,0,5,532.8
277,0,2,0,0,2,1,2011,2,10,9322.08512,70435,116,0,50,0,4,67.881546
278,0,1,2,0,2,1,2011,1,19,16727.56063,0,76,33,36,2,2,402.636829
279,0,1,0,0,2,1,2011,2,23,3652.532435,39679,92,2,85,0,1,641.388616
280,0,1,2,0,1,1,2011,1,7,6158.601171,0,89,13,45,0,5,342.481173
281,0,0,1,0,1,1,2011,1,14,4376.083958,0,69,21,70,4,3,331.2
282,0,0,0,0,2,0,2011,2,15,5569.456156,53565,71,27,34,1,6,340.8
283,0,0,1,0,0,1,2011,2,24,2576.513006,37574,66,19,14,1,1,412.101933
284,0,2,1,0,1,1,2011,2,2,8346.983233,48259,108,14,79,0,3,73.700573
285,0,1,0,0,2,1,2011,1,7,6323.923864,78532,78,25,87,0,3,374.4
286,0,0,1,1,5,1,2011,2,28,5973.14343,96163,73,23,90,0,3,350.4
287,0,0,1,0,1,1,2011,2,17,4706.676993,0,72,0,86,0,7,345.6
288,0,0,0,0,0,1,2011,2,12,8093.410258,0,114,9,72,1,5,722.024742
289,0,0,2,0,1,2,2011,1,9,5035.744643,72672,63,7,39,0,5,259.361117
290,0,2,1,0,0,1,2011,1,10,9027.867218,99002,112,33,75,1,8,537.6
291,0,1,0,0,1,2,2011,1,8,7288.884849,79494,91,19,30,0,3,396.295614
292,0,1,3,0,2,1,2011,1,25,18042.47942,35704,225,21,35,0,8,358.281562
293,0,0,1,1,4,0,2011,1,27,4992.063043,0,71,6,5,0,3,653.388564
294,0,2,0,0,1,2,2011,1,12,9102.267849,26049,118,17,6,0,6,121.032372
295,0,0,4,2,7,1,2011,1,16,2540.407726,70125,64,21,77,0,1,92.813396
296,0,0,2,0,2,1,2011,1,22,12941.89193,52369,110,34,49,1,2,528.0
297,0,0,1,2,7,1,2011,1,13,2365.348601,0,66,25,51,2,1,159.636956
298,0,0,2,0,0,0,2011,2,11,5720.765064,41770,72,0,60,0,9,476.156957
299,0,2,0,1,5,1,2011,1,4,7035.534088,0,101,16,88,0,8,727.2
300,0,0,2,0,2,1,2011,1,29,2636.97773,31911,67,33,27,0,1,321.6
301,0,0,1,1,5,1,2011,2,28,5395.831967,70051,68,15,69,0,8,42.078345
302,1,0,0,0,1,1,2011,2,4,8382.630118,19683,117,17,41,1,9,561.6
303,0,0,2,0,0,0,2011,2,2,31161.74523,30916,112,7,65,0,2,200.11606
304,0,1,1,0,0,1,2011,1,3,2887.742258,0,80,24,95,0,1,676.944023
305,1,0,2,1,5,1,2011,2,21,8714.922135,0,118,14,64,0,4,566.4
306,0,0,1,1,3,1,2011,2,1,25585.72783,0,116,0,45,0,2,830.623064
307,0,1,2,0,2,1,2011,1,1,10272.6082,60145,132,8,28,0,3,580.473259
308,1,2,1,0,2,1,2011,2,28,4376.363592,63774,111,18,63,0,1,60.036683
309,1,0,1,1,4,0,2011,1,12,5318.89664,25134,67,3,0,0,6,321.6
